IncidentName#0,"""$(0) 토벌"""
TrialBeginMsg#0,"""$(0) 토벌하기!"""
TrialAbstract#0,"""$(0)의 토벌"""
NpcComOnBegin#0,"""목표 부근으로 전송, 추격 시작!<br>목표로부터 너무 멀어지지 않게<br>조심해주세요!"""
NpcComOnHpDecreased0#0,"""공격이 먹혀듭니다!"""
NpcComOnHpDecreased1#0,"""목표의 체력, 저하되고 있어요!<br>그대로 계속 공격해주세요!"""
NpcComOnHpDecreasedLast#0,"""목표의 체력, 훨씬 더 저하!<br>얼마 안 남았어요!"""
NpcComOnTimeCourse#0,"""목표의 진행 방향, 확정됐습니다!<br>환창의 기둥을 향해 움직이고 있어요!"""
NpcComOnTimeSecond#0,"""목표, 환창의 기둥에 곧 도착합니다!"""
NpcComOnBegin#1,"""목표 부근으로 전송, 추격 시작!<br>목표로부터 너무 멀어지지 않게<br>조심해주세요!"""
NpcComOnHpDecreased0#1,"""공격이 먹혀듭니다!"""
NpcComOnHpDecreased1#1,"""목표의 체력, 저하되고 있어요!<br>그대로 계속 공격해주세요!"""
NpcComOnHpDecreasedLast#1,"""목표의 체력, 훨씬 더 저하!<br>얼마 안 남았어요!"""
NpcComOnTimeCourse#1,"""목표의 진행 방향, 확정됐습니다!<br>환창의 기둥을 향해 움직이고 있어요!"""
NpcComOnTimeSecond#1,"""목표, 환창의 기둥에 곧 도착합니다!"""
NpcComOnBegin#2,"""목표 부근으로 전송, 추격 시작!<br>목표로부터 너무 멀어지지 않게<br>조심해주세요!"""
NpcComOnHpDecreased0#2,"""공격이 먹혀듭니다!"""
NpcComOnHpDecreased1#2,"""목표의 체력, 저하되고 있어요!<br>그대로 계속 공격해주세요!"""
NpcComOnHpDecreasedLast#2,"""목표의 체력, 훨씬 더 저하!<br>얼마 안 남았어요!"""
NpcComOnTimeCourse#2,"""목표의 진행 방향, 확정됐습니다!<br>환창의 기둥을 향해 움직이고 있어요!"""
NpcComOnTimeSecond#2,"""목표, 환창의 기둥에 곧 도착합니다!"""
NpcComOnBegin#3,"""목표 부근으로 전송, 추격 시작!<br>목표로부터 너무 멀어지지 않게<br>조심해주세요!"""
NpcComOnHpDecreased0#3,"""공격이 먹혀듭니다!"""
NpcComOnHpDecreased1#3,"""목표의 체력, 저하되고 있어요!<br>그대로 계속 공격해주세요!"""
NpcComOnHpDecreasedLast#3,"""목표의 체력, 훨씬 더 저하!<br>얼마 안 남았어요!"""
NpcComOnTimeCourse#3,"""목표의 진행 방향, 확정됐습니다!<br>환창의 기둥을 향해 움직이고 있어요!"""
NpcComOnTimeSecond#3,"""목표, 환창의 기둥에 곧 도착합니다!"""
NpcComOnBegin#4,"""목표 부근으로 전송, 추격 시작!<br>목표로부터 너무 멀어지지 않게<br>조심해주세요!"""
NpcComOnHpDecreased0#4,"""공격이 먹혀듭니다!"""
NpcComOnHpDecreased1#4,"""목표의 체력, 저하되고 있어요!<br>그대로 계속 공격해주세요!"""
NpcComOnHpDecreasedLast#4,"""목표의 체력, 훨씬 더 저하!<br>얼마 안 남았어요!"""
NpcComOnTimeCourse#4,"""목표의 진행 방향, 확정됐습니다!<br>환창의 기둥을 향해 움직이고 있어요!"""
NpcComOnTimeSecond#4,"""목표, 환창의 기둥에 곧 도착합니다!"""
