IncidentName#0,"""$(0) 토벌"""
TrialBeginMsg#0,"""$(0) 토벌하기!"""
TrialAbstract#0,"""$(0) 토벌하기!"""
NpcComOnBegin#0,"""긴급 통지.<br>강력한 적성 반응 확인<br>신속한 격파를 부탁드립니다."""
NpcComOnSuccess#0,"""적성 반응이 소실됐습니다<br>다들 노력해주셔서 감사합니다."""
NpcComOnFailure#0,"""/face4 교전중인 대원들의 반응이 소실되었습니다.<br>바로 캠프쉽으로<br>귀환을 하겠습니다."""
HP_Under_50#0,"""$(0)<br>남은 체력 저하!"""
HP_Under_10#0,"""$(0)<br>체력이 얼마 남지 않았습니다!"""
NpcComLastEnemy#0,"""남은 적 이제 하나!"""
NpcComOnBegin#1,"""긴급 통보다.<br>강력한 적성 반응이 확인됐다.<br>서둘러 격파해라."""
NpcComOnSuccess#1,"""적성 반응의 소실 확인.<br>잘 해냈구나."""
NpcComOnFailure#1,"""칫, 이쪽이 당했군…<br>캠프 쉽으로 귀환한다."""
HP_Under_50#1,"""$(0)<br>남은 체력 저하!"""
HP_Under_10#1,"""$(0)<br>체력이 얼마 남지 않았다!"""
NpcComLastEnemy#1,"""한 녀석 남았다! 방심하지 마라!"""
NpcComOnBegin#2,"""기, 긴급 연락이에요!<br>강력한 적성 반응 확인!<br>서둘러 격파해 주세요!"""
NpcComOnSuccess#2,"""/face2 적 반응 소실!<br>여러분 수고하셨습니다!"""
NpcComOnFailure#2,"""/face6 아아아…… 교전중인 아크스가<br>당해버렸네요……<br>캠프 쉽으로 전송하겠습니다……"""
HP_Under_50#2,"""$(0)<br>남은 체력이 저하됐어요!"""
HP_Under_10#2,"""$(0)<br>체력이 조금밖에 안남았어요!"""
NpcComLastEnemy#2,"""/face2 앞으로 하나! 앞으로 하나!"""
NpcComOnBegin#3,"""긴급 통지.<br>강력한 적성 존재의 반응 감지.<br>신속한 대응을 부탁합니다."""
NpcComOnSuccess#3,"""적성 반응 소실.<br>임무 완료를 확인했습니다."""
NpcComOnFailure#3,"""전투 진행 불가.<br>캠프쉽으로 강제 전송합니다."""
HP_Under_50#3,"""$(0)<br>남은 체력 저하."""
HP_Under_10#3,"""$(0)<br>체력이 얼마 안남았습니다."""
NpcComLastEnemy#3,"""이제 남은 적은 하나입니다."""
NpcComOnBegin#4,"""긴급 통보입니다!<br>강력한 적성 반응 확인！<br>신속한 대처를 부탁드립니다!"""
NpcComOnSuccess#4,"""적성 반응 소실 확인!<br>역시 대단하군요, 감사합니다!"""
NpcComOnFailure#4,"""더 이상 교전을 계속하는건 곤란합니다!<br>귀환시켜 드릴게요!"""
HP_Under_50#4,"""$(0)<br>남은 체력이 저하되었습니다!"""
HP_Under_10#4,"""$(0)<br>체력이 얼마 남지 않았습니다!"""
NpcComLastEnemy#4,"""남은 적 앞으로 하나!"""
NpcComOnBegin#5,"""긴급 연락입니다!<br>강력한 적성 반응 확인!<br>신속히 대처해 주시기 바랍니다!"""
NpcComOnSuccess#5,"""적성 반응 소실 확인!<br>수고하셨습니다!"""
NpcComOnFailure#5,"""더 이상 임무를 계속하면 위험합니다.<br>귀환시켜 드릴게요!"""
HP_Under_50#5,"""$(0)<br>남은 체력 저하!<br>그 기세입니다!"""
HP_Under_10#5,"""$(0)<br>체력이 얼마 남지 않았습니다!"""
NpcComLastEnemy#5,"""앞으로 한 녀석 남았어요!"""
