IncidentName#0,"""더 많은 적을 격파하라!"""
TrialBeginMsg#0,"""제한 시간 안에 더 많은 적을 격파하라!"""
TrialAbstract#0,"""제한 시간 안에 더 많은 적을 격파하라!"""
Toast75EnemyMsg#0,"""앞으로 ７５체！"""
Toast50EnemyMsg#0,"""앞으로 ５０체！"""
Toast25EnemyMsg#0,"""앞으로 ２５체！"""
Toast10EnemyMsg#0,"""앞으로 １０체！"""
NpcComOnBegin#0,"""주위에 다수의 적성 반응 확인!<br>시간 안에 가능한 계속 격파해서<br>적의 전멸을 목표로 해주세요!"""
NpcComOnDefeatedHalfEnemy#0,"""적의 수가 상당히 줄었습니다!<br>그 기세입니다!"""
NpcComOnTimeLimit30#0,"""임무 종료까지 앞으로３０초！<br>라스트 스퍼트입니다!"""
NpcComOnDefeatedAllEnemy#0,"""주위에 적성 반응 완전 소멸!<br>훌륭합니다!"""
NpcComOnSuccess#0,"""제한 시간이 되었습니다!<br>적 세력의 철수를 확인.<br>수고하셨습니다!"""
