IncidentName#0,"""아크스의 모방체?를 격퇴하라"""
TrialBeginMsg#0,"""모든 적을 격파하라!"""
TrialAbstract#0,"""모든 적을 격파하라!"""
NpcComOnBegin#0,"""매우 강력한 적성 반응 감지!<br>이 반응은 뭘까요…<br>어떻게든 전부 격파해 주세요!"""
NpcComOnSuccess#0,"""적 반응 소실에 의해<br>여러분들의 좌표도 찾을 수 있었습니다.<br>상황 클리어. 귀환해주세요."""
NpcComOnFailure#0,"""실패"""
NpcComOnBegin#1,"""매우 강력한 적성 반응!<br>……성가신 녀석이 온다<br>귀환을 위해 전부 제거해!"""
NpcComOnSuccess#1,"""……반응 소실<br>제군의 좌표도 확인할 수 있었다<br>전송 장치를 보냈다. 귀환해라."""
NpcComOnFailure#1,"""실패"""
NpcComOnBegin#2,"""우왓, 엄청 강력한 반응!<br>그 공간의 주인인 것 같은데<br>이 반응은… 어라?"""
NpcComOnSuccess#2,"""/face2 아 아앗, 적 반응 소실!<br>여러분의 좌표도 구했습니다!<br>귀환해주세요!"""
NpcComOnFailure#2,"""실패"""
