IncidentName#0,"""$(0) 포획하기!"""
TrialBeginMsg#0,"""$(0)을 포획 장치로 포획하라!"""
TrialAbstract#0,"""$(0)을 포획 장치로 포획하라!"""
ToastOnRestTryCaptureNum#0,"""포획 장치 기동 가능 횟수\u3000남은 $(0)회."""
ToastOnUselessAccess#0,"""현재 포획 장치는 기동할 수 없다."""
NpcComOnBegin#0,"""지령이 변경됐습니다.<br>$(0)을<br>포획해 주세요."""
NpcComOnAfterBegin#0,"""포획 장치를 $(0) 지점으로 전송.<br>각자 대상을 유도해 포획하세요.<br>반복합니다. 목표를 포획하세요."""
NpcComOnSuccess#0,"""/face2 포획 대상의 전송 성공 확인.<br>갑작스러운 지령 변경에도<br>신속히 대응해 주셔서 감사합니다."""
NpcComOnFailure#0,"""/face4 포획 임무 지속 불가.<br>어쩔 수 없습니다.<br>통상 임무로 돌아가 주세요."""
NpcComOnEnableCapture#0,"""대상을 포획 유효 범위 안에 포착!<br>지금입니다. 포획 장치를 기동하세요!"""
NpcComOnCaptureSwitch#0,"""타이밍은 문제없습니다.<br>이제 대상이 유효 범위를<br>벗어나지 않게 해 주세요."""
NpcComOnDisableCapture#0,"""포획 장치는 현재 사용할 수 없습니다.<br>먼저 포획 대상을 범위 안으로<br>유도해 주세요."""
NpcComOnSuccessCapture#0,"""대상 포획 성공.<br>전송 완료를 확인합니다."""
NpcComOnFailedCapture#0,"""대상 포획 실패.<br>유효 범위는 제한돼 있습니다.<br>대상을 놓치지 마세요."""
NpcComOnAttackTarget#0,"""목표는 어디까지나 포획입니다.<br>포획 대상에 대한 공격은<br>가급적 피해주세요."""
NpcComOnDeadTarget#0,"""포획 대상의 생체 반응 소실.<br>어쩔 수 없습니다.<br>다음 기회를 기다리죠."""
NpcComOnLastCapture#0,"""전송 장치가 부하를 견딜 수 있는 건<br>앞으로 한 번이 한계입니다.<br>신중하게 포획 임무를 수행하세요."""
NpcComOnBegin#1,"""지령 변경이다.<br>$(0)을<br>포획해라. 토벌이 아닌 포획이다."""
NpcComOnAfterBegin#1,"""포획 장치를 $(0)에 전송했다.<br>각자 대상을 유도해 포획해라.<br>반복한다. 대상을 포획해라."""
NpcComOnSuccess#1,"""포획 대상의 전송 성공을 확인했다.<br>갑작스러운 지령 변경으로 수고했다.<br>잘해 주었다."""
NpcComOnFailure#1,"""/face6 더 포획을 시도하긴 무모하겠군.<br>어쩔 수 없다. 통상 임무로 돌아가라."""
