IncidentName#0,"""$(0) 토벌"""
TrialBeginMsg#0,"""$(0) 토벌하기!"""
TrialAbstract#0,"""$(0) 토벌하기!"""
NpcComOnBegin#0,"""긴급 연락이에요.<br>강력안 적성 반응을 확인<br>신속한 격파를 부탁드립니다."""
NpcComOnSuccess#0,"""/face2 적성 반응이 소실됐습니다<br>다들 노력해주셔서 감사합니다."""
NpcComOnFailure#0,"""/face4 교전중인 대원의 반응이 소실됐습니다.<br>즉시 캠프 쉽으로<br>돌아가도록 하겠습니다."""
HP_Under_50#0,"""$(0)<br>남은 체력 저하!"""
HP_Under_10#0,"""$(0)<br>체력이 얼마 남지 않았습니다!"""
NpcComLastEnemy#0,"""남은 적 이제 하나!"""
NpcComOnBegin#1,"""기, 긴급연락입니다!<br>강력한 적의 반응을 확인!<br>서둘러 격파해 주세요!"""
NpcComOnSuccess#1,"""/face2 적의 반응 소실!<br>여러분 수고하셨습니다!"""
NpcComOnFailure#1,"""/face6 아아아… 교전 중인 아크스가<br>당해버렸어요…<br>캠프쉽으로 전송할게요…"""
HP_Under_50#1,"""$(0)<br>남은 체력이 저하됐어요!"""
HP_Under_10#1,"""$(0)<br>체력이 조금밖에 안남았어요!"""
NpcComLastEnemy#1,"""/face2 앞으로 하나! 앞으로 하나!"""
NpcComOnBegin#2,"""강력안 적성 반응을 확인！<br>빠르게 격파해주세요!"""
NpcComOnSuccess#2,"""목표의 반응 소실 확인.<br>수고하셨습니다!"""
HP_Under_50#2,"""남은 체력 저하!<br>이대로 계속 해요!"""
HP_Under_10#2,"""앞으로 조금이에요.<br>단숨에 해치워 버려요!"""
