IncidentName#0,"""폭풍의 선물"""
TrialBeginMsg#0,"""Mr. 앙브라를 만족시켜라!<br>Mr. 앙브라의 공격을 1번 맞으면 성공!"""
TrialAbstract#0,"""Mr. 앙브라에게 1번 맞아라!"""
TrialFailureAttack#0,"""Mr. 앙브라를 3번 공격한다"""
TrialFailureMiss#0,"""Mr. 앙브라가 공격을 5번 빗맞힌다"""
NpcComOnBegin#0,"""/face2 Mr. 앙브라군요.<br>그에게 맞으면<br>복을 받을 수 있는 모양입니다."""
NpcComOnSuccess#0,"""/face2 Mr. 앙브라가 기뻐하는군요.<br>무언가 복을 받으셨나요?<br>그럼 임무를 계속해 주세요."""
NpcComOnFailure#0,"""/face6 Mr. 앙브라가 화났군요.<br>이렇게 되면 위험합니다.<br>각자 즉시 대피해 주세요."""
NpcComOnPreBegin#0,"""새로운 열원 반응이 접근 중!<br>주의하세요. 옵니다!"""
NpcComOnBegin#1,"""/face2 Mr. 앙브라로군.<br>녀석에게 맞으면<br>복을 받을 수 있는 모양이다."""
NpcComOnSuccess#1,"""/face2 Mr. 앙브라가 기뻐하는군.<br>무언가 복을 받았나?<br>그럼 계속 임무를 수행해라."""
NpcComOnFailure#1,"""/face6 Mr. 앙브라의 심기를 건드렸군.<br>더는 어떻게 할 수 없다.<br>각자 일단 대피해라."""
NpcComOnPreBegin#1,"""이건 새로운 열원 반응이군.<br>방심하지 마라. 상당히 크다."""
NpcComOnBegin#2,"""/face2 앙브라 님!\u3000Mr. 앙브라 님이네요!<br>그분에게 맞으면<br>복을 받을 수 있나 봐요."""
NpcComOnSuccess#2,"""/face2 앙브라 님, 기뻐 보이네요!<br>무언가 복을 받으셨나요?<br>이 기세로 임무를 계속해 주세요."""
NpcComOnFailure#2,"""/face6 앙브라 님을 화나게 했군요...<br>이렇게 되면 어쩔 수 없어요.<br>즉시 대피해 주세요."""
StruckUmblla#0,"""/face3 안 돼요! 앙브라 님을<br>공격하지 마세요!<br>기분이 상하면 큰일이에요."""
BeStruckByUmblla#0,"""괜찮으세요?<br>앞으로 한 번, 한 번만 참으세요!"""
NpcComOnPreBegin#2,"""우와앗, 엄청난 열원 반응이에요!<br>조, 조심해 주세요!"""
NpcComOnPreBegin#3,"""주변 경계를 강화해 주세요.<br>새로운 반응이 감지됐습니다."""
NpcComOnBegin#3,"""/face2 이 반응은 Mr. 앙브라군요!<br>그에게 맞으면 복을 받는 모양입니다."""
NpcComOnSuccess#3,"""/face2 Mr. 앙브라, 기뻐 보입니다.<br>무언가 복을 받으셨나요?"""
NpcComOnFailure#3,"""/face6 Mr. 앙브라가 화났습니다.<br>이대로는 위험합니다.<br>잠시 대피해 주세요."""
NpcComOnPreBegin#4,"""주변을 경계해 주세요!<br>수상한 반응이 있습니다!"""
NpcComOnBegin#4,"""/face2 저건 Mr. 앙브라군요!<br>그에게 맞으면<br>복을 받을지도 몰라요!"""
NpcComOnSuccess#4,"""/face2 Mr. 앙브라가 기뻐 보여요!<br>이제 분명 복을 받을 거예요!"""
NpcComOnFailure#4,"""/face6 Mr. 앙브라가 화난 것 같아요!<br>이렇게 되면 어쩔 수 없네요.<br>일단 대피해 주세요."""
NpcComOnPreBegin#5,"""주변을 경계해 주세요!<br>수상한 반응이 있습니다!"""
NpcComOnBegin#5,"""/face2 저건 Mr. 앙브라군요!<br>그에게 맞으면<br>복을 받을지도 몰라요!"""
NpcComOnSuccess#5,"""/face2 Mr. 앙브라가 기뻐 보여요!<br>이제 분명 복을 받을 거예요!"""
NpcComOnFailure#5,"""/face6 Mr. 앙브라가 화난 것 같아요!<br>이렇게 되면 어쩔 수 없네요.<br>일단 대피해 주세요."""
