IncidentName#0,"""공생 에너미 격파"""
TrialBeginMsg#0,"""지원하러 온 에너미를 포함해<br>모든 적을 격파하라!"""
TrialAbstract#0,"""지원하러 온 에너미를 포함해<br>모든 적을 격파하라!"""
NpcComOnBegin#0,"""새로운 적성 존재의 접근을 감지!<br>모두 격파해 주세요!"""
NpcComOnSuccess#0,"""/face2 적성 존재 격파를 확인했습니다!<br>수고하셨습니다!"""
NpcComOnBegin#1,"""새로운 적이 온 모양이군.<br>적성 존재는 모두 격파해라."""
NpcComOnSuccess#1,"""적성 존재의 반응 소멸.<br>잘 해냈다."""
NpcComOnBegin#2,"""앗, 새로운 적이 온 것 같아요!<br>전부 쓰러뜨려 주세요!"""
NpcComOnSuccess#2,"""/face2 적성 반응 소멸 확인했습니다!<br>수고하셨어요!"""
NpcComOnBegin#3,"""새로운 적성 존재의 반응 감지.<br>모든 대상을 격파하는 것이 목적입니다."""
NpcComOnSuccess#3,"""적성 존재의 반응, 소멸.<br>충분한 성과입니다."""
NpcComOnBegin#4,"""오, 새로운 적이 나타났네요!<br>전부 한꺼번에 쓰러뜨리죠!"""
NpcComOnSuccess#4,"""적성 반응 소실 확인!<br>수고하셨습니다!"""
