IncidentName#0,"""겔 부르프를 피하라!"""
TrialBeginMsg#0,"""겔 부르프에게서 도망쳐라!!<br>$(0)회 이상 습격당하면 실패한다."""
TrialAbstract#0,"""겔 부르프의 습격을 견디고<br>살아남아라!"""
TrialOutbreak#0,"""$(0) 님이 겔 부르프에게 습격당했습니다!"""
NpcComOnBegin#0,"""긴급 연락입니다!<br>겔 부르프의 출현을 확인했습니다!<br>가능한 한 유인하며 견뎌주세요."""
NpcComOnBeginAtRareCase#0,"""침착하게 들어주세요.<br>겔 부르프의 발생을 확인했습니다.<br>가능한 한 유인하며 견뎌주세요."""
NpcComOnSuccess#0,"""/face2 겔 부르프를 견뎌내다니 대단해요.<br>...앗, 아니, 훌륭합니다."""
NpcComOnFailure#0,"""/face4 겔 부르프의 영향으로 피해가 막심합니다!<br>피해 허용 범위를 넘었습니다...<br>유감입니다."""
NpcComOnTarget#0,"""$(0)!\u3000도망치세요!<br>당신이 표적이 됐습니다!"""
NpcComOnTime1#0,"""겔 부르프의 기동 시간에는<br>한계가 있습니다!\u3000조금만 더!<br>그때까지 모두 견뎌주세요!"""
NpcComOnTime2#0,"""/face2 그 기세예요! 곧<br>겔 부르프의 활동 한계입니다!<br>조금만 더 견뎌주세요!"""
NpcComOnRepop#0,"""겔 부르프의 재전송을 확인!<br>각 대원은 주위 경계를 강화해주세요."""
NpcComOnBegin#1,"""긴급 연락입니다!<br>겔 부르프의 출현을 확인했습니다!<br>위험합니다!\u3000피해 주세요!"""
NpcComOnBeginAtRareCase#1,"""조심해 주세요!<br>겔 부르프가 출현했습니다!<br>가능한 한 유인하며 회피하세요!"""
NpcComOnSuccess#1,"""겔 부르프 소멸을 확인했습니다!<br>훌륭합니다!"""
NpcComOnFailure#1,"""겔 부르프의 영향으로 피해가 막심합니다!<br>더 이상의 피해는 허용할 수 없습니다…<br>유감입니다."""
NpcComOnTarget#1,"""$(0)!\u3000도망치세요!<br>당신이 표적이 됐습니다!"""
NpcComOnTime1#1,"""겔 부르프의 활동에는<br>시간 제한이 있습니다.<br>끝까지 피해 봅시다!"""
NpcComOnTime2#1,"""겔 부르프의 활동 한계까지<br>얼마 남지 않았습니다!<br>조금만 더 힘내세요!"""
NpcComOnRepop#1,"""겔 부르프의 재전송을 확인했습니다!<br>주의해 주세요!"""
