IncidentName#0,"""$(0) 격파"""
TrialBeginMsg#0,"""적 $(0) 격파가 목표!<br>파트너가 2회 전투 불능이 되면 실패."""
TrialAbstract#0,"""적 $(0) 격파가 목표!<br>파트너가 2회 전투 불능이 되면 실패."""
NpcComOnBegin#0,"""근처에 교전 중인 아크스가 있습니다!<br>즉시 합류해서 협력해<br>주변 일대의 적을 격퇴해 주세요!"""
NpcComOnSuccess#0,"""/face2 수고하셨습니다!<br>좋은 협력 관계였던 것 같습니다!"""
NpcComOnFailure#0,"""/face4 아쉽지만 어쩔 수 없습니다.<br>대상 아크스는 이쪽에서<br>회수하겠습니다."""
NpcComOnDownA#0,"""연계가 잘되지 않는 것 같습니다.<br>서로 협력하는 것을 잊지 마세요."""
NpcComOnDownB#0,"""대상 아크스에게 과도한 부담이<br>쌓이고 있습니다. 다음 실패 시에는<br>후퇴를 권고하겠습니다."""
NpcComOnDownPB#0,"""$(0)에<br>과도한 부담이 쌓이고 있습니다.<br>다음 전투 불능 시 강제 회수합니다."""
NpcComOnBeginP1#0,"""$(0)의<br>서포트 파트너가<br>에너미의 습격을 받고 있습니다!"""
NpcComOnBeginP2#0,"""주변의 에너미를 제거하고<br>안전을 확보해 주세요."""
NpcComOnFailureP#0,"""/face4 아쉽지만 어쩔 수 없습니다.<br>$(0)은<br>이쪽에서 회수해 귀환시키겠습니다."""
NpcComOnBegin#1,"""근처에서 교전 중인 아크스 반응 포착.<br>합류해 협력하여 주변의 적성 존재를<br>격퇴해 주세요."""
NpcComOnSuccess#1,"""적성 세력의 전멸을 확인했습니다.<br>협력 임무 수행, 훌륭합니다."""
NpcComOnFailure#1,"""임무 실패를 확인했습니다.<br>대상 아크스를 회수합니다."""
NpcComOnDownA#1,"""협력이 부족한 것 같습니다.<br>서로의 존재를 의식하며<br>임무를 수행해 주세요."""
NpcComOnDownB#1,"""대상 아크스의 부담이 크고<br>위험한 상태입니다. 다음 실패 시<br>강제 후퇴하게 됩니다."""
NpcComOnDownPB#1,"""$(0)의 부담이<br>한계에 도달했습니다. 다음 전투 불능 시<br>강제 회수를 실행합니다."""
NpcComOnBeginP1#1,"""$(0)의<br>서포트 파트너가<br>적성 존재의 습격을 받고 있습니다."""
NpcComOnBeginP2#1,"""주변의 적성 존재를 제거하고<br>안전을 확보하세요."""
NpcComOnFailureP#1,"""한계입니다.<br>$(0)을<br>강제 회수합니다."""
NpcComOnBegin#2,"""<%me>!<br>근처에 교전 중인 아크스가 있습니다!<br>합류해 협력하여 적성 존재를 격퇴하세요!"""
NpcComOnSuccess#2,"""수고하셨습니다!<br>갑작스러운 공투였지만<br>연계가 아주 좋았어요!"""
NpcComOnFailure#2,"""대상 아크스는 이쪽에서 회수합니다!<br><%me>!<br>남은 적성 존재를 격퇴해 주세요!"""
NpcComOnDownA#2,"""협력 중인 아크스의 부담이 큽니다!<br>잘 지원해 주세요!"""
NpcComOnDownB#2,"""협력 중인 아크스의 부담이 크고<br>위험하므로 다음 전투 불능 시<br>대상자를 강제로 회수하겠습니다!"""
NpcComOnDownPB#2,"""$(0)의 부담이<br>상당히 큽니다. 다음 전투 불능 시<br>강제로 회수하겠습니다!"""
NpcComOnBeginP1#2,"""$(0)의<br>서포트 파트너가 습격받고 있습니다!<br>지원해 주세요!"""
NpcComOnBeginP2#2,"""주변 에너미를 격퇴하고 안전 확보!<br>잘 부탁드립니다!"""
NpcComOnFailureP#2,"""으음, 더는 위험하겠네요...<br>$(0)은<br>이쪽에서 회수하겠습니다."""
