IncidentName#0,"""최종 결전에서 승리해라!"""
TrialBeginMsg#0,"""최종 결전에서 승리해라!"""
TrialAbstract#0,"""최종 결전에서 승리해라!"""
ToastMatoiBuffMsg#0,"""【마토이의 바램】 HP&PP, 공격력이 상승!"""
ToastHitsugiBuffMsg#0,"""【히츠기의 패기】 일정시간 적을 속박!"""
ToastHarrietBuffMsg#0,"""【하리엣의 신위】 적에게 큰 대미지!"""
NpcComOnBegin_1#0,"""/atime1.0 /voice11_voice_delicious_npcha_012 이 얼마나 불길한지.<br>이게 그자의 진정한 모습……"""
NpcComOnGetAngry#0,"""/voice11_voice_delicious_npcha_014 이제부터가 진짜인 것 같습니다.<br>마지막까지 방심하지 않도록!"""
HP_Under_50_1#0,"""/voice11_voice_delicious_npchi_012 절대로 지지않아!<br>이대로 밀어붙이자!"""
NpcComOnLastPhase#0,"""/voice11_voice_delicious_npcma_012 너에게만<br>짊어지게 하지 않을거야!<br>나도 함께 싸울게!"""
NpcComOnBuffMatoi#0,"""/voice11_voice_delicious_npcma_013 클라리사! 그를 지켜줘!"""
NpcComOnBuffHitsugi#0,"""/voice11_voice_delicious_npchi_013 아메노무라쿠모, 그를 도와줘!"""
NpcComOnBuffHarriet#0,"""/voice11_voice_delicious_npcha_015 이 힘, 받아주세요!<br>수호휘사!"""
HP_Under_10_1#0,"""/voice11_voice_delicious_npcma_016 지금이야! 마지막 일격을!"""
HP_Under_10_2#0,"""/voice11_voice_delicious_npchi_014 가라아아아앗!"""
HP_Under_10_3#0,"""/voice11_voice_delicious_npcha_016 수호휘사, 지금입니다!"""
NpcComOnPowerUp#0,"""/voice11_voice_delicious_npcma_014 결착을 내자!"""
