IncidentName#0,"""이그닉스로부터 벗어나 원흉을 격파하라！"""
TrialBeginMsg#0,"""원흉인 적을 쓰러뜨리고<br>이그닉스를 정지시켜라!"""
TrialAbstract#0,"""원흉인 적을 쓰러뜨리고<br>이그닉스를 정지시켜라!"""
NpcComOnBegin#0,"""이상 에너지 폭발 감지!<br>이건 이그닉스라 불리는<br>다커의 공간 제압 무기입니다!"""
NpcComOnBegin1#0,"""이그닉스는 시간이 지날수록<br>범위를 넓혀 더욱 위협을 가합니다!<br>즉시 그 자리를 벗어나세요!"""
NpcComOnBegin2#0,"""어딘가에 원흉이 되는 적성 존재가<br>있을 것입니다. 폭발에 주의 하면서<br>조속한 격파를 부탁드립니다!"""
NpcComBossInfo#0,"""$(0)!<br>그 적이 현상의 원흉입니다!<br>서둘러 격파해주세요!"""
NpcComOnSuccess#0,"""적 반응 소실 확인과 함께<br>이그닉스의 반응도 소멸됐습니다.<br>수고하셨습니다."""
NpcComOnBegin#1,"""이그닉스라고 불리우는 다커의<br>공간 제압 병기의 발동 확인.<br>당장 그곳을 벗어나라."""
NpcComOnBegin1#1,"""이그니스는 시간이 지날수록<br>그 효과 범위를 넓히는 성질을 가졌다."""
NpcComOnBegin2#1,"""어딘가 원흉이 되는 존제가 있을터.<br>서둘러 찾아내 격파하라."""
NpcComBossInfo#1,"""$(0) 인가.<br>그 녀석이 원흉같군.<br>당장 격파하라."""
NpcComOnSuccess#1,"""적성 반응 소실과 함께<br>이그닉스 반응도 소멸 확인.<br>좋아, 통상 임무로 돌아가라."""
NpcComOnBegin#2,"""어라? 폭발!?<br>이건 혹시… 이그닉스!"""
NpcComOnBegin1#2,"""그 근처에 폭발을 발생시키는<br>다커의 무기에요!<br>위 위험해요! 얼른 도망치세요!"""
NpcComOnBegin2#2,"""어딘가에 이그닉스를 발생시키는<br>니쁜 적이 있을거에요!<br>찾아서 쓰려뜨려 주세요!"""
NpcComBossInfo#2,"""앗 $(0)!<br>저게 원인이에요! 저녀석 때문이에요!<br>서둘러 격파해주세요!"""
NpcComOnSuccess#2,"""적성 반응의 소실과 함께<br>이그닉스가 진정하는걸 확인했습니다!<br>휴우, 다행이에요!"""
