IncidentName#0,"""$(0) 토벌"""
TrialBeginMsg#0,"""$(0) 토벌하기!"""
TrialAbstract#0,"""$(0) 토벌하기!"""
NpcComOnBegin#0,"""긴급 통지.<br>강력한 적성 반응 확인<br>신속한 격파를 부탁드립니다."""
NpcComOnSuccess#0,"""/face2 적성 반응이 소실됐습니다<br>다들 노력해주셔서 감사합니다."""
NpcComOnFailure#0,"""/face4 교전중인 대원의 반응이 소실됐습니다.<br>즉시 캠프 쉽으로 돌아가는<br>돌아가도록 하겠습니다."""
HP_Under_50#0,"""$(0)<br>남은 체력 저하!"""
HP_Under_10#0,"""$(0)<br>체력이 얼마 남지 않았습니다!"""
NpcComLastEnemy#0,"""남은 적 이제 하나!"""
NpcComOnBegin#1,"""긴급 통보다.<br>강력한 적성 반응이 확인됐다.<br>서둘러 격파해라."""
NpcComOnSuccess#1,"""적성 반응의 소실 확인.<br>잘 해냈구나."""
NpcComOnFailure#1,"""칫, 이쪽이 당했군…<br>캠프 쉽으로 귀환한다."""
HP_Under_50#1,"""$(0)<br>남은 체력 저하!"""
HP_Under_10#1,"""$(0)<br>체력이 얼마 남지 않았다!"""
NpcComLastEnemy#1,"""한 녀석 남았다! 방심하지 마라!"""
