IncidentName#0,"""더 많은 적을 격파하라!"""
TrialBeginMsg#0,"""제한 시간 안에 、더 많은 적을 격파하라!"""
TrialAbstract#0,"""제한 시간 안에 、더 많은 적을 격파하라!"""
Toast75EnemyMsg#0,"""残り７５体！"""
Toast50EnemyMsg#0,"""残り５０体！"""
Toast25EnemyMsg#0,"""残り２５体！"""
Toast10EnemyMsg#0,"""残り１０体！"""
NpcComOnBegin#0,"""エネミーが、たくさん出現します。<br>시간 안에 できるだけ撃破してください。<br>그럼 힘내세요!"""
NpcComOnDefeatedHalfEnemy#0,"""いい感じですよ。<br>ざっくり半分ぐらい撃破しましたね。<br>この調子でお願いします。"""
NpcComOnTimeLimit30#0,"""제한 시간 まで、残り３０秒。<br>最後まで、がんばってくださいね。"""
NpcComOnDefeatedAllEnemy#0,"""すべてのエネミー撃破を確認。<br>やりましたね……お見事です。<br>お疲れさまでした。"""
NpcComOnSuccess#0,"""제한 시간이 되었습니다.<br>訓練はここまでとなります。<br>お疲れさまでした。"""
NpcComOnBegin#1,"""エネミーが、たくさん出現します。<br>시간 안에 できるだけ撃破してください。<br>그럼 힘내세요!"""
NpcComOnDefeatedHalfEnemy#1,"""いい感じですよ。<br>ざっくり半分ぐらい撃破しましたね。<br>この調子でお願いします。"""
NpcComOnTimeLimit30#1,"""제한 시간 まで、残り３０秒。<br>最後まで、がんばってくださいね。"""
NpcComOnDefeatedAllEnemy#1,"""すべてのエネミー撃破を確認。<br>やりましたね……お見事です。<br>お疲れさまでした。"""
NpcComOnSuccess#1,"""제한 시간이 되었습니다.<br>訓練はここまでとなります。<br>お疲れさまでした。"""
