IncidentName#0,"""리리파족의 보물찾기"""
TrialBeginMsg#0,"""보물을 찾는 리리파족을 끝까지 지켜라!"""
TrialAbstract#0,"""보물을 찾는 리리파족을 끝까지 지켜라!"""
NpcComOnBegin#0,"""방금 나타난 리리파족...<br>무언가를 찾는 모양이군요."""
NpcComOnBeginNext#0,"""그렇군요... 리리파족은 무언가<br>보물 같은 걸 찾는 모양입니다.<br>가능한 한 호위해 주세요."""
NpcComOnSuccess#0,"""찾던 보물을 발견한 모양이군요.<br>이제 호위할 필요는 없겠죠.<br>통상 임무로 복귀해 주세요."""
NpcComOnFailure#0,"""리리파족, 괜찮을까요...<br>실례. 유감이지만 호위 실패입니다.<br>통상 임무로 돌아가 주세요."""
NpcComOnFindPlayer#0,"""저곳이 리리파족이 향하는<br>목표 지점인 모양이군요."""
NpcComOnFindLilipa#0,"""리리파족이 목표 지점을<br>발견한 모양입니다."""
NpcComOnArrivalFirst#0,"""리리파족이 목표 지점에 도착했습니다.<br>어디선가 적이 올지도 모릅니다.<br>주의해서 호위해 주세요."""
NpcComOnArrivalNext#0,"""리리파족이 다시 발굴을 시작했습니다.<br>무엇을 찾는 걸까요...<br>실례. 계속 경계해 주세요."""
NpcComOnArrivalFinal#0,"""여기가 마지막 지점인 모양입니다.<br>방심하지 말고 끝까지 리리파족을<br>지켜주도록 하죠."""
NpcComOnSearchFailure#0,"""이 목표 지점에서는 찾고 있던<br>보물을 발견하지 못한 모양이군요."""
NpcComOnJoin#0,"""현재 보물과 유물을 발굴하는<br>리리파족을 호위하고 있습니다.<br>협력해 주세요."""
NpcComOnBegin#1,"""저 리리파족은...<br>아무래도 무언가를 찾는 모양이군."""
NpcComOnBeginNext#1,"""저 리리파족은 폐품 속에서<br>보물을 발굴하려는 모양이다.<br>가능한 한 호위해 줘라."""
NpcComOnSuccess#1,"""찾던 물건을 발견한 모양이다.<br>이제 호위할 필요도 없겠지.<br>통상 임무로 복귀해라."""
NpcComOnFailure#1,"""호위에 실패했군.<br>뭐, 이런 일도 있는 법이다.<br>통상 임무로 돌아가라."""
NpcComOnFindPlayer#1,"""리리파족이 목표로 삼은 곳은<br>저곳인 모양이다."""
NpcComOnFindLilipa#1,"""리리파족이 목표 지점을<br>발견한 모양이다."""
NpcComOnArrivalFirst#1,"""리리파족이 발굴에 푹 빠졌군.<br>...이럴 때는 뭔가 생기는 법이다.<br>주변 경계를 게을리하지 마라."""
NpcComOnArrivalNext#1,"""리리파족이 다시 발굴을 시작했군.<br>...아까와 같은 상황이다.<br>주변의 적을 경계해라."""
NpcComOnArrivalFinal#1,"""여기가 마지막 지점인 모양이군.<br>끝까지 방심하지 마라."""
NpcComOnSearchFailure#1,"""흠... 여기서는 찾던 물건을<br>발견하지 못한 모양이군."""
NpcComOnJoin#1,"""유물을 발굴하는 리리파족을<br>호위하고 있다.<br>가능하면 협력해 줘라."""
NpcComOnBegin#2,"""어라랏?\u3000저건 리리파족이네요.<br>무언가를 찾는 모양인데요..."""
NpcComOnBeginNext#2,"""으음, 아무래도 폐품 속에서<br>보물 같은 걸 찾으려나 봐요.<br>가능한 한 지켜주시겠어요?"""
NpcComOnSuccess#2,"""/face2 해냈어요!\u3000무사히 보물을<br>찾아낸 것 같아요!\u3000수고하셨어요!"""
NpcComOnFailure#2,"""/face4 아아... 리리파족, 불쌍해라...<br>호위 실패입니다. 통상 임무로<br>복귀해 주세요."""
NpcComOnFindPlayer#2,"""저기가 목표 지점인 모양이에요!"""
NpcComOnFindLilipa#2,"""어라, 리리파족이 목표 지점을<br>발견한 모양이에요!"""
NpcComOnArrivalFirst#2,"""리리파족이 발굴을 시작했어요!<br>적이 올지도 모르니<br>주변을 경계해 주세요!"""
NpcComOnArrivalNext#2,"""리리파족이 다시 발굴을 시작했어요!<br>아까처럼 적을 경계해 주세요!"""
NpcComOnArrivalFinal#2,"""여기가 마지막 목적지인 모양이에요!<br>끝까지 잘 지켜주세요!"""
NpcComOnSearchFailure#2,"""이 지점은 꽝인 모양이에요.<br>다음 장소로 향할 거예요."""
NpcComOnJoin#2,"""현재 리리파족 호위 임무를<br>수행 중이에요!\u3000가능하면 합류해서<br>임무에 참가해 주세요!"""
OnFun#0,"""리! 리!"""
OnFind#0,"""/mn38  리리!"""
OnDrop#0,"""리리!?"""
OnDamage#0,"""/mn2 리리..."""
OnMove#0,"""/mn17 리리릿!\u3000리리릿!"""
OnSuccess#0,"""/ci2 1 /mn38 리리!\u3000리리리!"""
OnDie#0,"""리이... 리리리..."""
