IncidentName#0,"""토벌 대상을 모두 격파하라!"""
TrialBeginMsg#0,"""긴급 지령! $(0)을<br>포함한 모든 적을 격파하라!"""
TrialAbstract#0,"""긴급 지령! $(0)을<br>포함한 모든 적을 격파하라!"""
TargetName#0,"""도벌 대상 전부"""
NpcComOnBegin#0,"""추가 적성 반응의 출현을 확인!<br>전투 태세를 유지하며<br>신속히 대응해 주세요!"""
NpcComOnSuccess#0,"""/face2 수고하셨습니다!<br>여러분의 임기응변에<br>감사드립니다!"""
NpcComOnBegin#1,"""덤처럼 적성 존재가 나타났나…<br>현재 태세를 유지하며<br>새로운 적에게도 대비해라."""
NpcComOnSuccess#1,"""좋아, 정리됐군.<br>긴급 상황에도 잘 대처했다."""
NpcComOnBegin#2,"""에에엣, 또 오는 건가요!?<br>여러분, 더더욱 조심하세요!<br>무언가 오고 있어요!"""
NpcComOnSuccess#2,"""/face2 어, 어떻게든 끝났네요.<br>한숨 돌릴 수 있어 다행이에요."""
NpcComOnBegin#3,"""적성 존재의 추가 출현을 확인.<br>각 대원은 목표를 제거하십시오."""
NpcComOnSuccess#3,"""목표 소멸. 임무 완료.<br>적절한 대응이었습니다."""
NpcComOnBegin#4,"""새로운 적성 반응이 나타났습니다!<br>동시에 상대할 수밖에 없겠네요…<br>잘 부탁드립니다!"""
NpcComOnSuccess#4,"""주변의 적성 반응은 모두 소멸했습니다!<br>이걸로 일단락이네요!<br>수고하셨습니다!"""
NpcComOnBegin#5,"""새로운 적성 반응이 나타났습니다!<br>동시에 상대할 수밖에 없겠네요…<br>잘 부탁드립니다!"""
NpcComOnSuccess#5,"""주변의 적성 반응은 모두 소멸했습니다!<br>이걸로 일단락이네요!<br>수고하셨습니다!"""
