IncidentName#0,"""$(0) 격파"""
TrialBeginMsg#0,"""파트너와 협력하여<br>$(0)을 격파하라!"""
TrialAbstract#0,"""파트너와 협력하여<br>$(0)을 격파하라!"""
NpcComOnBegin#0,"""추가 적성 반응을 확인했습니다.<br>계속 협력하여 격퇴에<br>힘써 주세요."""
NpcComOnSuccess#0,"""/face2 적성 반응의 격퇴를 확인했습니다.<br>갑작스러운 협력이었지만…<br>훌륭한 결과입니다."""
NpcComOnFailure#0,"""더 이상의 교전은 위험합니다.<br>아쉽지만 일단 물러나죠."""
NpcComOnBegin#1,"""적성 반응이 계속 발생 중입니다.<br>협력 태세를 유지하여 출현한<br>적성 존재를 격퇴해 주세요."""
NpcComOnSuccess#1,"""적성 반응, 완전히 소멸.<br>임시 협력 태세였지만<br>훌륭한 전투였습니다."""
NpcComOnFailure#1,"""더 이상의 교전은 위험하다고 판단.<br>지금은 철수해 주세요."""
NpcComOnBegin#2,"""새로운 적성 반응을 확인했습니다!<br>계속 협력하여<br>목표를 격퇴해 주세요!"""
NpcComOnSuccess#2,"""수고하셨습니다!<br>흠잡을 데 없는 성과네요!<br>훌륭한 연계였어요!"""
NpcComOnFailure#2,"""더 이상은 위험하네요…<br>물러날 때를 아는 것도 중요합니다!<br>여기서는 철수하죠!"""
