IncidentName#0,"""백의 백성을 도와라!"""
TrialBeginMsg#0,"""$(0) 격퇴하기!"""
TrialAbstract#0,"""$(0)을 $(1)마리 쓰러뜨려라!"""
NpcComOnBegin#0,"""에너미가 백의 백성의 마을을 습격.<br>백의 백성 전사들이 요격 중입니다.<br>각 대원은 백의 백성에게 협력해 주세요."""
NpcComOnSuccess#0,"""적성 반응 소멸을 확인했습니다.<br>수고하셨습니다."""
NpcComOnFailureDead#0,"""백의 백성 전사 전원이 전선 이탈.<br>일시 후퇴하는 모양입니다.<br>임무 실패. 통상 임무로 돌아가 주세요."""
NpcComOnFailureTimer#0,"""마을의 파괴 상황은 심각…<br>에너미도 목적을 달성해 철수 중입니다.<br>아쉽지만 임무 실패입니다."""
NpcComOnBegin#1,"""백의 백성의 마을이 습격당하고 있다.<br>백의 백성 전사들과 협력해<br>에너미를 격퇴해라."""
NpcComOnSuccess#1,"""적성 반응은 완전히 소멸했다.<br>잘 해냈다."""
NpcComOnFailureDead#1,"""백의 백성이 모두 철수했나…<br>어쩔 수 없다. 이번 임무는 실패다.<br>통상 임무로 돌아가라."""
NpcComOnFailureTimer#1,"""적 세력은 목적을 달성해 철수 중이다.<br>…아쉽지만 이번 임무는 실패다."""
NpcComOnBegin#2,"""와앗, 백의 백성 마을이 습격받고 있어요!<br>백의 백성 전사들과 힘을 합쳐<br>적을 쓰러뜨려 주세요!"""
NpcComOnSuccess#2,"""적 격퇴 완료!\u3000훌륭합니다!<br>정말 멋진 연계였어요!<br>수고하셨습니다!"""
NpcComOnFailureDead#2,"""백의 백성 전사들이 모두<br>철수해 버렸어요… 임무 실패입니다.<br>통상 임무로 돌아가 주세요."""
NpcComOnFailureTimer#2,"""으으… 적이 철수를 시작했어요.<br>목적을 달성한 모양이에요.<br>임무 실패입니다…"""
NpcComOnBegin#3,"""백의 백성 마을에 적성 존재가 습격.<br>백의 백성 전사들이 출격했습니다.<br>협력하여 적을 요격해 주세요."""
NpcComOnSuccess#3,"""적성 존재의 반응, 완전히 소멸.<br>훌륭한 대응이었습니다."""
NpcComOnFailureDead#3,"""백의 백성 전사 전원이 철수했습니다.<br>마을 일부를 포기하고 대피하는 모양입니다.<br>임무 실패입니다."""
NpcComOnFailureTimer#3,"""적 세력은 목표 달성과 동시에 철수 개시.<br>백의 백성 마을의 피해가 막대합니다.<br>…임무 실패입니다."""
