IncidentName#0,"""$(0) 토벌"""
TrialBeginMsg#0,"""$(0) 격퇴하기!"""
TrialAbstract#0,"""$(0) 토벌하기!"""
NpcComOnPreBegin#0,"""強力な熱源反応が接近！<br>注意してください、来ます！"""
NpcComOnBegin#0,"""緊急連絡！<br>新手のエネミーの接近を確認！"""
NpcComOnSuccess#0,"""$(0)の<br>撃破を確認しました！<br>各員の協力に感謝します！"""
NpcComOnPreBegin#1,"""こいつは強力な熱源反応だな。<br>油断するなよ、これはでかいぞ。"""
NpcComOnBegin#1,"""新手の敵性反応の接近を確認！<br>警戒を怠るな。"""
NpcComOnSuccess#1,"""目標の撃破を確認した。<br>各員、通常任務に戻れ。"""
NpcComOnPreBegin#2,"""この熱源反応は異常ですよ！<br>ほんとうに気をつけてください！"""
NpcComOnBegin#2,"""わわわっ！ 新手！？ <br>いつのまにこんな近くに！？"""
NpcComOnSuccess#2,"""な、なんとか目標の撃破に<br>成功したみたいですー。<br>ふぅ、よかったぁ……"""
NpcComOnPreBegin#3,"""周囲への警戒を強めてください。<br>強力な反応が感知されています。"""
NpcComOnBegin#3,"""긴급 통지.<br>新たな敵性反応が接近。<br>撃破してください。"""
NpcComOnSuccess#3,"""目標を撃破。<br>見事な対応でした。"""
NpcComOnPreBegin#4,"""周辺、警戒してください！<br>不審な反応があります！"""
NpcComOnBegin#4,"""긴급 통보입니다!<br>강력한 적성 반응 확인했습니다!<br>서둘러 대처해 주세요!"""
NpcComOnSuccess#4,"""적성 반응 소실 확인!<br>훌륭하세요!"""
