Name#0,"""리아"""
Trouble#0,"""화기관리에 트러블!?<br>큭…… 일단 내려가겠습니다!"""
PassMessage#0,"""여기는 상공!<br>정찰 비행 중입니다!"""
PassMessage2#0,"""여기는 상공!<br>편대로 정찰 비행 중입니다!"""
DropHelpItem#0,"""구호물자를 가져왔습니다!<br>투하합니다!"""
DropEnemy#0,"""으음……<br>왠지 물자가 이상하게<br>무거웠던것 같네요……"""
Shooting#0,"""엄호 사격을 시작합니다."""
FallMessage#0,"""우와와와와왓!<br>정상 운행이 힘듭니다, 불시착합니다!"""
RequestDefense#0,"""죄송합니다!<br>수리하는 동안 엄호를 요청합니다!"""
RequestDefense2#0,"""수리하는 동안 엄호를 부탁드립니다!<br>음, 그런데 이건 고칠 수 있을까……"""
EnemyFront#0,"""전방에 적 그림자! 옵니다!"""
EnemyRight#0,"""우현에 적 그림자! 옵니다!"""
EnemyBack#0,"""후방에 적 그림자! 옵니다!"""
EnemyLeft#0,"""좌현에 적 그림자! 옵니다!"""
Broken#0,"""피해율 70%를 넘었습니다!<br>더, 더이상은 안 돼요!"""
Destroy#0,"""더 이상 버틸 수 없습니다, 탈출합니다!"""
SuccessDefence#0,"""수리 완료했습니다!<br>엄호해 주셔서 감사합니다!"""
EvFallMessage#0,"""어라…… 역시 안되는 느낌?<br>죄송합니다, 다시 불시착합니다!"""
EvRequestDefense#0,"""다시 고쳐보겠습니다, 몇번이든!<br>그러니 호위를 부탁드립니다!"""
EvBroken#0,"""으으으, 역시 안되는건가……"""
EvDestroy#0,"""아 정말! 틀렸어!<br>죄송합니다, 탈출하겠습니다!"""
EvSuccessDefence#0,"""수고하셨습니다!<br>이제 괜찮습니다! 고마워요!"""
EvDarker#0,"""어? 기동이 안돼!?<br>비상 상황입니다! 탈출합니다!"""
Trouble#1,"""계기류에 트러블!?<br>큭…… 일단 내려가겠습니다!"""
PassMessage#1,"""여기는 상공!<br>적의 그림자를 수색 중입니다!"""
PassMessage2#1,"""여기는 상공!<br>편대로 적의 그림자를 수색 중입니다!"""
DropHelpItem#1,"""지금부터 구호물자를 투하합니다!<br>조심하세요!"""
DropEnemy#1,"""방금 전달한 건 정말 물자 맞죠……?"""
Shooting#1,"""엄호 사격을 시작합니다."""
FallMessage#1,"""우와와왓, 조타 불능!?<br>불시착합니다!"""
RequestDefense#1,"""죄송합니다!<br>수리하는 동안 지켜주실 수 있으신가요?"""
RequestDefense2#1,"""기체를 수리하는 동안<br>호위를 부탁드립니다!<br>수리할 수 있을지는 모르겠습니다!"""
EnemyFront#1,"""전방에 적 그림자! 옵니다!"""
EnemyRight#1,"""우현에 적 그림자! 옵니다!"""
EnemyBack#1,"""후방에 적 그림자! 옵니다!"""
EnemyLeft#1,"""좌현에 적 그림자! 옵니다!"""
Broken#1,"""피해 확대!<br>이래선 수리할 수 없습니다!"""
Destroy#1,"""죄송합니다, 이제 틀렸어요!<br>탈출합니다!"""
SuccessDefence#1,"""기다리게 해드려서 죄송합니다!<br>수리, 완전히 완려되었습니다!"""
EvFallMessage#1,"""이런…… 기관 긴급 정지!<br>불시착합니다!"""
EvRequestDefense#1,"""조금만 더 고치면 괜찮을……거예요!<br>죄송합니다, 다시 한 번<br>엄호 부탁드립니다!"""
EvBroken#1,"""直고친 곳 부터 손상이 늘어나……<br>……포기해야 하는 부분?"""
EvDestroy#1,"""지금까지 열심히 했는데……!<br>……탈출합니다!죄송합니다!"""
EvSuccessDefence#1,"""수고하셨습니다!<br>이제 괜찮습니다! 고마워요!"""
EvDarker#1,"""어? 기동이 안돼!?<br>비상 상황입니다! 탈출합니다!"""
Trouble#2,"""원인 불명의 트러블!?<br>큭…… 일단 내려가겠습니다!"""
PassMessage#2,"""여기는 상공!<br>정찰 임무 중입니다!"""
PassMessage2#2,"""여기는 상공!<br>편대로 정찰 임무 중입니다!"""
DropHelpItem#2,"""괜찮으십니까!<br>구호물자를 가져왔습니다!"""
DropEnemy#2,"""물자에서 열원 반응……?<br>……뭐, 됐나!"""
Shooting#2,"""엄호 사격을 시작합니다."""
FallMessage#2,"""우와 큰일! 컨트롤 불가!<br>일단 불시착합니다!"""
RequestDefense#2,"""기체를 수리하겠습니다!<br>그 동안 호위를 부탁드립니다!"""
RequestDefense2#2,"""고칠 수 있다고 믿고 수리하겠습니다!<br>호위를 부탁드립니다!"""
EnemyFront#2,"""전방에 적 그림자! 옵니다!"""
EnemyRight#2,"""우현에 적 그림자! 옵니다!"""
EnemyBack#2,"""후방에 적 그림자! 옵니다!"""
EnemyLeft#2,"""좌현에 적 그림자! 옵니다!"""
Broken#2,"""아아아~, 나의 애기가<br>점점 더 흠집 투성이가 되어가!"""
Destroy#2,"""못 고쳐서 죄송합니다!<br>탈출합니다!"""
SuccessDefence#2,"""수리 완료입니다!<br>좋아 얘야 착하지, 어서 날아라!"""
EvFallMessage#2,"""아아아~ 역시 제시간에는 무리야!<br>죄송합니다. 비상 착륙합니다!"""
EvRequestDefense#2,"""아~ 정말, 조금만 더 수리하면 됐는데!<br>죄송합니다, 다시 수리하겠습니다!<br>엄호를!"""
EvBroken#2,"""아직이야!<br>너덜너덜하지만 꼭 고쳐 보일 테니!"""
EvDestroy#2,"""아아……나의 애기가……"""
EvSuccessDefence#2,"""수고하셨습니다!<br>이제 괜찮습니다! 고마워요!"""
EvDarker#2,"""어? 기동이 안돼!?<br>비상 상황입니다! 탈출합니다!"""
