IncidentName#0,"""냐우와 승부하라!"""
TrialBeginMsg#0,"""냐우를 이겨라!"""
TrialAbstract#0,"""$(0)에게 이겨라"""
NpcComOnBegin#0,"""냐우의 출현을 확인했습니다.<br>귀찮으실 거라<br>생각되지만 각 대원<br>적절한 대처를 부탁드립니다."""
NpcComOnSuccess#0,"""냐우, 드디어 철수하는 듯합니다.<br>대응 감사드립니다."""
NpcComOnBegin_Other#0,"""냐우의 출현을 확인했습니다.<br>귀찮으실 거라<br>생각되지만 각 대원<br>적절한 대처를 부탁드립니다."""
NpcComOnSuccess_Other#0,"""냐우, 드디어 철수하는 듯합니다.<br>대응 감사드립니다."""
NpcComOnBegin_Darker#0,"""냐우의 출현을 확인했습니다.<br>귀찮으실 거라<br>생각되지만 각 대원<br>적절한 대처를 부탁드립니다."""
NpcComOnSuccess_Darker#0,"""냐우, 드디어 철수하는 듯합니다.<br>대응 감사드립니다."""
NpcComOnBegin#1,"""이런 이런 성가신 게 나타났군.<br>말해도 안 들을 녀석이다<br>각 대원 적절하게 대처해서<br>힘의 차이를 보여줘라."""
NpcComOnSuccess#1,"""도망간 것 같군.<br>이걸로 질려준다면 좋겠다만……<br>뭐, 좋다. 잘 해줬다."""
NpcComOnBegin_Other#1,"""이런 이런 성가신 게 나타났군.<br>말해도 안 들을 녀석이다<br>각 대원 적절하게 대처해서<br>힘의 차이를 보여줘라."""
NpcComOnSuccess_Other#1,"""도망간 것 같군.<br>이걸로 질려준다면 좋겠다만……<br>뭐, 좋다. 잘 해줬다."""
NpcComOnBegin_Darker#1,"""이런 이런 성가신 게 나타났군.<br>말해도 안 들을 녀석이다<br>각 대원 적절하게 대처해서<br>힘의 차이를 보여줘라."""
NpcComOnSuccess_Darker#1,"""도망간 것 같군.<br>이걸로 질려준다면 좋겠다만……<br>뭐, 좋다. 잘 해줬다."""
NpcComOnBegin#2,"""와왓, 냐우가 나타났어요!<br>아무튼 승부를 좋아하는 아이라서<br>빠르게 상대해주세요!"""
NpcComOnSuccess#2,"""냐우, 철수했습니다.<br>하지만 지기 싫어하는 아이니까<br>앞으로도 가끔 나타날 거라 생각해요."""
NpcComOnBegin_Other#2,"""와왓, 냐우가 나타났어요!<br>아무튼 승부를 좋아하는 아이라서<br>빠르게 상대해주세요!"""
NpcComOnSuccess_Other#2,"""냐우, 철수했습니다.<br>하지만 지기 싫어하는 아이니까<br>앞으로도 가끔 나타날 거라 생각해요."""
NpcComOnBegin_Darker#2,"""와왓, 냐우가 나타났어요!<br>아무튼 승부를 좋아하는 아이라서<br>빠르게 상대해주세요!"""
NpcComOnSuccess_Darker#2,"""냐우, 철수했습니다.<br>하지만 지기 싫어하는 아이니까<br>앞으로도 가끔 나타날 거라 생각해요."""
NpcComOnBegin#3,"""냐우라고 하는 생명체의 출현을 확인.<br>승부에 집착하는 특성을 가졌다는 것.<br>적절하게 대응해주세요."""
NpcComOnSuccess#3,"""냐우 철수했습니다.<br>앞으로도 자주 나타나겠지만<br>지금처럼 대응하면 문제없습니다."""
NpcComOnBegin_Other#3,"""냐우라고 하는 생명체의 출현을 확인.<br>승부에 집착하는 특성을 가졌다는 것.<br>적절하게 대응해주세요."""
NpcComOnSuccess_Other#3,"""냐우 철수했습니다.<br>앞으로도 자주 나타나겠지만<br>지금처럼 대응하면 문제없습니다."""
NpcComOnBegin_Darker#3,"""냐우라고 하는 생명체의 출현을 확인.<br>승부에 집착하는 특성을 가졌다는 것.<br>적절하게 대응해주세요."""
NpcComOnSuccess_Darker#3,"""냐우 철수했습니다.<br>앞으로도 자주 나타나겠지만<br>지금처럼 대응하면 문제없습니다."""
NpcComOnBegin#4,"""냐우의 출현을 확인!<br>여러분과 승부하고 싶은 것 같으니<br>가볍게 다뤄주세요!"""
NpcComOnSuccess#4,"""냐우는 도망친 것 같아요.<br>앞으로도 나타날 거라 생각되지만<br>그 때에도 잘 다뤄주세요."""
NpcComOnBegin_Other#4,"""냐우의 출현을 확인!<br>여러분과 승부하고 싶은 것 같으니<br>가볍게 다뤄주세요!"""
NpcComOnSuccess_Other#4,"""냐우는 도망친 것 같아요.<br>앞으로도 나타날 거라 생각되지만<br>그 때에도 잘 다뤄주세요."""
NpcComOnBegin_Darker#4,"""냐우의 출현을 확인!<br>여러분과 승부하고 싶은 것 같으니<br>가볍게 다뤄주세요!"""
NpcComOnSuccess_Darker#4,"""냐우는 도망친 것 같아요.<br>앞으로도 나타날 거라 생각되지만<br>그 때에도 잘 다뤄주세요."""
NpcComOnBegin#5,"""냐우의 출현을 확인!<br>여러분과 승부하고 싶은 것 같으니<br>가볍게 다뤄주세요!"""
NpcComOnSuccess#5,"""냐우는 도망친 것 같아요.<br>앞으로도 나타날 거라 생각되지만<br>그 때에도 잘 다뤄주세요."""
NpcComOnBegin_Other#5,"""냐우의 출현을 확인!<br>여러분과 승부하고 싶은 것 같으니<br>가볍게 다뤄주세요!"""
NpcComOnSuccess_Other#5,"""냐우는 도망친 것 같아요.<br>앞으로도 나타날 거라 생각되지만<br>그 때에도 잘 다뤄주세요."""
NpcComOnBegin_Darker#5,"""냐우의 출현을 확인!<br>여러분과 승부하고 싶은 것 같으니<br>가볍게 다뤄주세요!"""
NpcComOnSuccess_Darker#5,"""냐우는 도망친 것 같아요.<br>앞으로도 나타날 거라 생각되지만<br>그 때에도 잘 다뤄주세요."""
