IncidentName#0,"""모든 적을 격파하라!"""
TrialBeginMsg#0,"""총좌를 이용하여 모든 적을 격파하라!"""
TrialAbstract#0,"""총좌를 이용하여 모든 적을 격파하라!"""
NpcComOnPreBegin#0,"""새로운 적의 접근을 확인했습니다.<br>다들 주의하세요."""
NpcComOnBegin#0,"""주변 좌표로 총좌를 전송합니다.<br>활용해 주세요."""
NpcComOnSuccess#0,"""/face2 모든 적 섬멸 확인.<br>주변 지역에도 반응이 없습니다.<br>수고하셨습니다."""
NpcComOnFailure#0,"""미사용 더미 데이터"""
HelpMessage#0,"""총자 전송 완료.<br>그걸 이용해, 적 섬멸을<br>부탁드립니다."""
EmplacementBroke#0,"""파괴된 총좌를 보충합니다.<br>앞으로 $(0)초 뒤 완료됩니다."""
EmplacementRespawn#0,"""총좌 재전송 완료.<br>잘 부탁드립니다."""
EnergyStandRespawn#0,"""소비한 탄창을 보충했습니다."""
NpcComOnPreBegin#1,"""새로운 적이 다가오고있다.<br>귀찮군… 조심해."""
NpcComOnBegin#1,"""주변 좌포에 총좌를 전송하겠다.<br>잘 쓰도록 해라."""
NpcComOnSuccess#1,"""증원을 포함한 모든 적 섬멸 확인.<br>상황 종료다."""
NpcComOnFailure#1,"""미사용 더미 데이터"""
HelpMessage#1,"""주변 좌표에 총좌를 전송했어.<br>그 녀석을 이용해서 적을 섬멸해라."""
EmplacementBroke#1,"""파괴된 총좌를 보충한다.<br>$(0)초 뒤에 재전송한다."""
EmplacementRespawn#1,"""총좌 재전송 완료."""
EnergyStandRespawn#1,"""소비한 탄창을 보충했다."""
NpcComOnPreBegin#2,"""적이 다가오고 있어요!<br>이건… 주의해주세요!"""
NpcComOnBegin#2,"""/face2 총좌를 전송할게요!<br>유용하게 활용해 주세요."""
NpcComOnSuccess#2,"""/face2 적 반응 소실입니다.<br>수고하셨습니다!<br>통상 임무로 돌아가죠!"""
NpcComOnFailure#2,"""미사용 더미 데이터"""
HelpMessage#2,"""/face2 근처에 총좌를 전송한 것 같아요!<br>팍팍 사용해 주세요!"""
EmplacementBroke#2,"""부서진 총좌를 전송합니다.<br>재전송까지 $(0)초!"""
EmplacementRespawn#2,"""총좌는 재전송 됐나요?"""
EnergyStandRespawn#2,"""탄창을 보급했어요!"""
NpcComOnPreBegin#3,"""적성 반응의 접근 감지.<br>경계해 주세요."""
NpcComOnBegin#3,"""그쪽으로 총좌를 전송하겠습니다.<br>적당한 때에 사용해주세요."""
NpcComOnSuccess#3,"""모든 적성 반응 소실.<br>통상 임무로 돌아가주세요."""
NpcComOnFailure#3,"""미사용 더미 데이터"""
HelpMessage#3,"""총좌 전송 완료.<br>적절한 때에 사용하여<br>적성 존재를 섬멸 해주세요."""
EmplacementBroke#3,"""파괴돤 총자를 교환합니다.<br>재전송까지 앞으로 $(0)초."""
EmplacementRespawn#3,"""총좌 재전송 완료."""
EnergyStandRespawn#3,"""탄창 보충 완료."""
NpcComOnPreBegin#4,"""새로운 적성 반응이 접근 중!<br>주의해주세요!"""
NpcComOnBegin#4,"""주변 좌표에 총좌를 전송했습니다!<br>마구 사용해주세요!"""
NpcComOnSuccess#4,"""적성 반응 소실 확인!<br>역시 대단해요, 수고하셨어요!"""
NpcComOnFailure#4,"""미사용 더미 데이터"""
HelpMessage#4,"""총좌 전송을 완료했습니다!<br>잘 사용해 주세요!"""
EmplacementBroke#4,"""파괴된 총좌를 교환합니다!<br>재전송까지 $(0)초!"""
EmplacementRespawn#4,"""총좌 재전송을 완료했습니다!"""
EnergyStandRespawn#4,"""탄창을 보충했습니다!<br>팡팡 쏘도록 해요!"""
