IncidentName#0,"""환창전함 야마토를 격퇴하라!"""
TrialBeginMsg#0,"""제한시간 내에 환창전함 야마토를 격퇴하라!"""
TrialAbstract#0,"""제한시간 내에 환창전함 야마토를 격퇴하라!"""
NpcComOnBegin#0,"""긴급 연락입니다! 강력한 적성 반응을 확인했습니다!<br>신속한 대처를 부탁드립니다!"""
NpcComOnSuccess#0,"""적성 반응 소실 확인!<br>훌륭합니다!"""
HP_Under_50#0,"""$(0)<br>남은 체력 저하!"""
HP_Under_10#0,"""$(0)<br>체력이 얼마 남지 않았습니다!"""
NpcComOnBeginNext#0,"""……야마토 주위에 장벽 확인!<br>공격이 통하지 않는 것 같아요.<br>하지만, 반드시 어딘가에 약점이 있을거에요."""
NpcComOnBreakBarrier#0,"""야마토를 감싸고 있던 배리어가 벗겨진 것 같습니다!<br>단숨에 쳐들어가세요!"""
NpcComOnDeathblow#0,"""전함 야마토의 강력한 에너지 반응 확인!<br>뭔가 하려는 것 같습니다 주의하세요!"""
NpcComOnBegin#1,"""긴급 연락입니다! 강력한 적성 반응을 확인했습니다!<br>신속한 대처를 부탁드립니다!"""
NpcComOnSuccess#1,"""적성 반응 소실 확인!<br>훌륭합니다!"""
HP_Under_50#1,"""$(0)<br>남은 체력 저하!"""
HP_Under_10#1,"""$(0)<br>체력이 얼마 남지 않았습니다!"""
NpcComOnBeginNext#1,"""……야마토 주위에 장벽 확인!<br>공격이 통하지 않는 것 같아요.<br>하지만, 반드시 어딘가에 약점이 있을거에요."""
NpcComOnBreakBarrier#1,"""야마토를 감싸고 있던 배리어가 벗겨진 것 같습니다!<br>단숨에 쳐들어가세요!"""
NpcComOnDeathblow#1,"""전함 야마토의 강력한 에너지 반응 확인!<br>뭔가 하려는 것 같습니다 주의하세요!"""
NpcComOnBegin#2,"""긴급 연락입니다! 강력한 적성 반응을 확인했습니다!<br>신속한 대처를 부탁드립니다!"""
NpcComOnSuccess#2,"""적성 반응 소실 확인!<br>훌륭합니다!"""
HP_Under_50#2,"""$(0)<br>남은 체력 저하!"""
HP_Under_10#2,"""$(0)<br>체력이 얼마 남지 않았습니다!"""
NpcComOnBeginNext#2,"""……야마토 주위에 장벽 확인!<br>공격이 통하지 않는 것 같아요.<br>하지만, 반드시 어딘가에 약점이 있을거에요."""
NpcComOnBreakBarrier#2,"""야마토를 감싸고 있던 배리어가 벗겨진 것 같습니다!<br>단숨에 쳐들어가세요!"""
NpcComOnDeathblow#2,"""전함 야마토의 강력한 에너지 반응 확인!<br>뭔가 하려는 것 같습니다 주의하세요!"""
NpcComOnBegin#3,"""긴급 연락입니다! 강력한 적성 반응을 확인했습니다!<br>신속한 대처를 부탁드립니다!"""
NpcComOnSuccess#3,"""적성 반응 소실 확인!<br>훌륭합니다!"""
HP_Under_50#3,"""$(0)<br>남은 체력 저하!"""
HP_Under_10#3,"""$(0)<br>체력이 얼마 남지 않았습니다!"""
NpcComOnBeginNext#3,"""……야마토 주위에 장벽 확인!<br>공격이 통하지 않는 것 같아요.<br>하지만, 반드시 어딘가에 약점이 있을거에요."""
NpcComOnBreakBarrier#3,"""야마토를 감싸고 있던 배리어가 벗겨진 것 같습니다!<br>단숨에 쳐들어가세요!"""
NpcComOnDeathblow#3,"""전함 야마토의 강력한 에너지 반응 확인!<br>뭔가 하려는 것 같습니다 주의하세요!"""
NpcComOnBegin#4,"""각 A.I.S에게 연락!<br>서둘러 『야마토』 를 파괴하세요!！"""
NpcComOnSuccess#4,"""『야마토』의 격침을 확인!<br>훌륭합니다!"""
HP_Under_50#4,"""『야마토』의 손상이 커지고 있습니다!"""
HP_Under_10#4,"""앞으로 조금만 더 하면 돼요! 힘내세요!"""
NpcComOnBeginNext#4,"""『야마토』의 배리어 전개 확인!<br>측면 부분에 에너지가 집중되어 있습니다.<br>거길 노려주세요!"""
NpcComOnBreakBarrier#4,"""『야마토』의 배리어 해제 확인!<br>단숨에 쳐들어가세요!"""
NpcComOnDeathblow#4,"""『야마토』의 강력한 에너지 반응!<br>강력한 공격이 옵니다!<br>조심하세요!"""
NpcComOnBeginNextNoBarrier#0,"""이미 목표의 무장이 기동하고 있습니다!<br>조심하세요!"""
NpcComOnChangeShin#0,"""이건…… 목표 변화를 확인!<br>공격 방법이 늘고 있습니다.<br>주의하세요!"""
