IncidentName#0,"""파쟈두린의 폭주를 멈춰라!"""
TrialBeginMsg#0,"""파쟈두린 격퇴하기!"""
TrialAbstract#0,"""$(0)을<br>$(1)체 잡아라!"""
NpcComOnBegin#0,"""에어리어 안에 파쟈두린이 나타났다.<br>하지만 행동이 이상하다……<br>각 대원 신중하게 요격하라."""
NpcComOnBegin2#0,"""하늘을 검게 감싸며<br>자신을 강화하고 있어……？<br>저 등롱이 장기의 영향을 받은 건가?<br>각 대원 등롱을 공격하여 정화하라!"""
NpcComOnSuccess#0,"""파쟈두린의 진압을 확인.<br>장기의 영향을 받은 등롱이 있다면<br>이 기회에 정화해둬라."""
NpcComOnFailure#0,"""……작전은 실패한 듯하군.<br>하지만 변화한 등롱에 대해서는<br>장기의 영향으로부터 정화해둬라."""
NpcComOnLevelUp#0,"""하늘이 한층 더 어두워졌다.<br>장기의 영향을 받은 등롱을 공격해라.<br>서둘러라 이대로면 불리해진다."""
NpcComOnLevelUp34#0,"""장기로 가득찬 장소는 조심해라.<br>발을 들이면 대미지를 받을 거다.<br>지붕 위에서 파쟈두린을 쫓아라!"""
NpcComOnLevelUp45#0,"""굉장히 난처한 상황이다.<br>장기로 에너미가 회복하기 시작했다.<br>등롱의 정화를 서둘러라!"""
NpcComOnLevelDown#0,"""좋아 그 상태로 등롱의 정화를 계속해라.<br>하늘의 색이 돌아오고 있다.<br>하지만 방심하지 마라."""
NpcComOnLevelDown21#0,"""모든 등롱을 정화한 것 같군.<br>이 타이밍에 파쟈두린을<br>일망타진하라."""
NpcComOnRelease#0,"""잘했다.<br>이외에도 장기가 깃든 등롱이 있다면<br>지금처럼 정화하고 가라."""
NpcComOnBlack#0,"""등롱이 파쟈두린의 장기를 받았다.<br>서둘러 장기를 정화해라.<br>이대로는 피해가 늘어날 뿐이다!"""
NpcComRollerPos#0,"""파쟈두린의 위치를 특정했다.<br>$(0)에 급히 가서 서둘러 격파하라."""
NpcComOnBegin#1,"""에어리어 안에 파쟈두린이 나타났다.<br>하지만 행동이 이상하다……<br>각 대원 신중하게 요격하라."""
NpcComOnBegin2#1,"""하늘을 검게 감싸며<br>자신을 강화하고 있어……？<br>저 등롱이 장기의 영향을 받은 건가?<br>각 대원 등롱을 공격하여 정화하라!"""
NpcComOnSuccess#1,"""파쟈두린의 진압을 확인.<br>장기의 영향을 받은 등롱이 있다면<br>이 기회에 정화해둬라."""
NpcComOnFailure#1,"""……작전은 실패한 듯하군.<br>하지만 변화한 등롱에 대해서는<br>장기의 영향으로부터 정화해둬라."""
NpcComOnLevelUp#1,"""하늘이 한층 더 어두워졌다.<br>장기의 영향을 받은 등롱을 공격해라.<br>서둘러라 이대로면 불리해진다."""
NpcComOnLevelUp34#1,"""장기로 가득찬 장소는 조심해라.<br>발을 들이면 대미지를 받을 거다.<br>지붕 위에서 파쟈두린을 쫓아라!"""
NpcComOnLevelUp45#1,"""굉장히 난처한 상황이다.<br>장기로 에너미가 회복하기 시작했다.<br>등롱의 정화를 서둘러라!"""
NpcComOnLevelDown#1,"""좋아 그 상태로 등롱의 정화를 계속해라.<br>하늘의 색이 돌아오고 있다.<br>하지만 방심하지 마라."""
NpcComOnLevelDown21#1,"""모든 등롱을 정화한 것 같군.<br>이 타이밍에 파쟈두린을<br>일망타진하라."""
NpcComOnRelease#1,"""잘했다.<br>이외에도 장기가 깃든 등롱이 있다면<br>지금처럼 정화하고 가라."""
NpcComOnBlack#1,"""등롱이 파쟈두린의 장기를 받았다.<br>서둘러 장기를 정화해라.<br>이대로는 피해가 늘어날 뿐이다!"""
NpcComRollerPos#1,"""파쟈두린의 위치를 특정했다.<br>$(0)에 급히 가서 서둘러 격파하라."""
