msc_014090_0010#0,"""ที่นี่คือโรงงานสินะ"""
msc_014090_0020#0,"""DOLLS... กำลังถูกสร้างขึ้นที่นี่เหรอ...?"""
msc_014090_0030#0,"""ดูเหมือนว่าที่นี่จะเป็นสถานที่สร้าง DOLLS ขนาดเล็กน่ะ"""
msc_014090_0040#0,"""ส่วน DOLLS ขนาดใหญ่มาจากที่ไหนนั้นก็ยังไม่ทราบแน่ชัด"""
msc_014090_0050#0,"""ทำไมถึงมีสถานที่แบบนี้อยู่บนฮาลฟา (Halpha) ได้ล่ะ?"""
msc_014090_0060#0,"""..."""
msc_014090_0070#0,"""พวกเรายังหาคำตอบเรื่องนั้นไม่ได้"""
msc_014090_0080#0,"""แต่ที่รู้แน่ๆ คือถ้าเราทำลายที่นี่ได้ มันจะช่วยลดจำนวนของพวกมันลง"""
msc_014090_0090#0,"""...ฉันเดาว่าเราคงเดินหน้าต่อไปไม่ได้ถ้าไม่ผ่านตรงนี้ไปก่อนสินะ!"""
msc_014090_0100#0,"""ถูกต้องแล้ว"""
msc_014090_0110#0,"""งั้นเราก็ต้องยึดที่นี่ให้ได้! ไปกันเถอะ!"""
