name_7707#0,"""Маарин"""
ssn_014424_0001#0,"""Мне недавно сообщили, что ты придёшь помочь.<br>Спасибо. Ну что, собрал(а) овощи?"""
ssn_014424_0101#0,"""Отдать 10 саппа клюкв Ритем"""
ssn_014424_0102#0,"""Не отдавать"""
ssn_014424_0201#0,"""Спасибо. Будь уверен(а), оно пойдёт в дело."""
ssn_014424_0202#0,"""А, этого может не хватить... Извини,<br>но не мог(ла) бы ты добыть ещё немного?"""
ssn_014424_0203#0,"""А... хорошо. Я подожду."""
ssn_014424_0301#0,"""О-о, свеженькое. Это очень хороший ингридиент."""
ssn_014424_0302#0,"""Это идеальный продукт. Скоро все почувствуют прилив сил.<br>Что ж, наверное мне стоит приступить к работе."""
ssn_014424_0401#0,"""Ты в порядке? Наверное устал(а)."""
ssn_014424_0402#0,"""Если ты голоден(на), я приготовлю<br>что-нибудь вкусненькое."""
ssn_014424_0501#0,"""Нет, правда, ты хорошо постарался(ась).<br>Думаю, с этим я смогу приготовить<br>нежное блюдо."""
ssn_014424_0502#0,"""Ладно, надо б приступить к работе."""
