name_7211#0,"""香蒂|シャンディー"""
ssn_019002_0001#0,"""謝謝你能過來。<br>我再做個自我介紹吧。"""
ssn_019002_0002#0,"""我叫香蒂。我正在研究<br>發生在哈爾法上的各種特異現象。"""
ssn_019002_0003#0,"""我之所以把你叫過來，<br>是因為想拜託你來幫忙調查一下這些現象。"""
ssn_019002_0101#0,"""非常感謝。<br>真之足行者的戰鬥數據，也被漂亮地收集下來了。"""
ssn_019002_0102#0,"""而接下來，就是我們要努力的部分了。<br>我們會充分運用這些數據，進行敵人的調查。"""
ssn_019002_0103#0,"""無論是怎樣微小的情報，只要一點一滴地進行收集、解析，<br>也都應該能對此後的作戰起到幫助。"""
ssn_019002_0104#0,"""哪怕多一個人也好，真希望能有更多的ARKS，<br>能平安從戰場上歸來……"""
ssn_019002_0105#0,"""而至於報酬，可以通過已經交給你的點數進行交換，<br>有什麼需要的，都可以告訴我。"""
ssn_019002_0106#0,"""此後，也希望你能定期把<br>與帶有標誌敵人的交戰記錄發送過來。"""
ssn_019002_0107#0,"""那就拜託你啦。"""
npc_menu_0001#0,"""接受活動委託"""
npc_menu_0002#0,"""使用季節點數交換道具"""
npc_menu_0003#0,"""關閉菜單"""
