TrialName#0,"""Hunt Rally"""
TrialBeginMsg#0,"""Complete as many <pict bounty_target> Hunt Objectives within the time limit!"""
TrialAbstract#0,"""Complete as many <pict bounty_target> Hunt Objectives which are updated<br>for each Objective completion within the time limit."""
BountyFinishToast#0,"""Hunt Objective <yellow>$(0)<c> cleared"""
BountyFinishToastPoint#0,"""Obtained Exploration Points: 1000"""
Bounty_HighStarless#0,"""＊＊ハイスターレス"""
Bounty_Dread#0,"""＊＊老練"""
Bounty_HighRank#0,"""Defeat Megalotix"""
Bounty_Formidable#0,"""＊＊絶望"""
Bounty_Boost#0,"""＊＊エンハンスド"""
Bounty_God#0,"""Defeat DOLLS"""
Bounty_Alter#0,"""Defeat Alters"""
Bounty_Natural#0,"""＊＊フォーマーズ"""
Bounty_Remnants#0,"""＊＊ルーイナス"""
Bounty_Starless#0,"""Defeat Starless"""
Bounty_All#0,"""＊＊任意のエネミー"""
Bounty_Boss#0,"""＊＊強力なエネミー"""
Bounty_Zako#0,"""＊＊ボス以外のエネミー"""
Bounty_Kinoko#0,"""Collect Ruins Mushrooms"""
Bounty_Kabu#0,"""Collect Ruins Turnips"""
Bounty_Kiichigo#0,"""Collect Ruins Raspberries"""
Bounty_Ninjin#0,"""Collect Ruins Carrots"""
Bounty_Notify#0,"""<yellow>Earn Exploration Points for each Objective completed!<c>"""
NpcComOnBegin#0,"""/voice11_voice_navi002_trial_0001_015 Now requesting your assistance. Please aid our investigation by defeating the enemies and collecting the objects that we designate."""
NpcComOnSuccess#0,"""/voice11_voice_navi002_trial_0001_068 Thank you for your assistance. Please continue with your investigations."""
NpcComOnFailure#0,"""＊＊（失敗）"""
