name_7211#0,"""香蒂|シャンディー"""
ssn_019010_002_0001#0,"""謝謝你能過來。<br>我再做個自我介紹吧。"""
ssn_019010_002_0002#0,"""我叫香蒂。我正在研究<br>發生在哈爾法上的各種特異現象。"""
ssn_019010_002_0003#0,"""我之所以把你叫過來，<br>是因為想拜託你來幫忙調查一下這些現象。"""
ssn_019010_002_0101#0,"""你回來啦。<br>剛才的戰鬥數據也被完美地記錄下來了。"""
ssn_019010_002_0102#0,"""好像其他的研究員們，<br>也對你的大顯身手產生了興趣呢。"""
ssn_019010_002_0103#0,"""我們希望可以將這些數據，運用於敵人弱點的研究，<br>以及有效裝備的開發上。"""
ssn_019010_002_0104#0,"""這次就多謝啦。"""
ssn_019010_002_0105#0,"""而至於報酬，可以通過已經交給你的點數進行交換，<br>有什麼需要的，都可以告訴我。"""
ssn_019010_002_0106#0,"""今後，也希望你能定期把<br>與帶有標誌敵人的交戰記錄發送過來。"""
ssn_019010_002_0107#0,"""之後也拜託你啦。"""
ssn_019010_002_0201#0,"""我們正在專注於調查<br>這個時期敵人的變化。"""
ssn_019010_002_0202#0,"""無論是怎樣細微的數據都可以，<br>只要可以提供給我們，就再好不過了。"""
ssn_019010_002_0301#0,"""十分感謝！<br>多虧了你的幫助，我們獲得了珍貴的數據。"""
ssn_019010_002_0302#0,"""我想這樣一來，距離完全解明伽伊拉與敵人的關係，<br>就又近了一步。"""
ssn_019010_002_0303#0,"""以及……其實呢，<br>我想再取得一些敵人的數據。"""
ssn_019010_002_0304#0,"""如果可以的話，還希望你可以幫忙。"""
ssn_019010_002_0401#0,"""辛苦了！<br>這次的數據，我們也會運用於研究之中的。"""
ssn_019010_002_0402#0,"""以及，這個是ARKS戰鬥團那邊<br>發來的請求……"""
ssn_019010_002_0403#0,"""接下來也拜託你啦。"""
ssn_019010_002_0501#0,"""謝謝你能過來。"""
ssn_019010_002_0502#0,"""其實這次，我也想讓你<br>幫忙調查一下……"""
npc_menu_0001#0,"""接受委託"""
npc_menu_0002#0,"""使用季節點數交換道具"""
npc_menu_0003#0,"""詢問關於季節活動的信息"""
npc_menu_0004#0,"""關閉菜單"""
npc_menu_0005#0,"""關於“季節活動”"""
npc_menu_0006#0,"""關於“季節活動角色”"""
npc_menu_0007#0,"""關於“每日／每週委託的追加”"""
npc_menu_0008#0,"""關於“關於搗蛋標誌”"""
npc_menu_0009#0,"""關於“季節型敵人”"""
npc_menu_0010#0,"""沒有想問的"""
