name_7008#0,"""羅莎|ロッサ"""
ssn_014120_0001#0,"""看來你已經相當得心應手了嘛。"""
ssn_014120_0002#0,"""而我呢，有件事想拜託一下如此得心應手的你，<br>肯不肯聽聽？"""
ssn_014120_0101#0,"""那我就簡單點說了哈。"""
ssn_014120_0102#0,"""這哈爾法上，<br>不是到處都擺著道具箱嘛？"""
ssn_014120_0103#0,"""有些是ARKS在作戰行動中遺棄的，<br>有些是被什麼人放在那裡的……"""
ssn_014120_0104#0,"""除此之外呢，還有從地裡冒出來的，<br>還有從天上掉下來的……總之各種各樣啦。"""
ssn_014120_0105#0,"""而你有沒有發現，在這之中，<br>有一些和其他的顏色不一樣的，特別的道具箱？"""
ssn_014120_0106#0,"""也不知道是被什麼人放在那裡的，<br>正可謂是哈爾法七大不可思議事件之一呢。"""
ssn_014120_0107#0,"""而我呢，想拜託你也來協助一下這調查。<br>去盡可能多地尋找道具箱吧。"""
ssn_014120_0108#0,"""你需要做的，就只有一個挨一個地找出來，檢查裡面的內容而已。<br>是不是挺簡單的？"""
ssn_014120_0109#0,"""那我可就拜託你啦！"""
ssn_014120_0201#0,"""這樣啊……<br>要是有興趣了就來找我啊。"""
ssn_014120_0301#0,"""我說你啊，還真是一點點地有在長進啊。<br>真是可靠啊。"""
ssn_014120_0302#0,"""就連克羅福德好像也挺佩服你的。<br>總之，你就照這個勢頭去加油吧！"""
ssn_014120_0401#0,"""唔……<br>這次的任務不愧是有點棘手啊。"""
ssn_014120_0402#0,"""不過嘛，你肯定是沒問題的啦！<br>我這邊也會做好支持工作的！"""
ssn_014120_0403#0,"""那就拜託你啦！"""
