TrialName_1Enemy#0,"""$(0) Subjugation"""
TrialName_1Enemy_normal#0,"""Enemy Subjugation"""
TrialBeginMsg_1Enemy#0,"""Defeat the $(0) that has appeared!"""
TrialBeginMsg_1Enemy_?????#0,"""Defeat the ????? that has appeared!"""
TrialAbstract_1Enemy#0,"""Defeat the $(0)"""
TrialAbstract_1Enemy_?????#0,"""Defeat the ?????"""
TrialName_Multi#0,"""Enemy Subjugation"""
TrialBeginMsg_Multi#0,"""Defeat the enemies that have appeared!"""
TrialAbstract_Multi#0,"""Defeat the enemies"""
NpcComOnBegin#0,"""What the... There's a powerful enemy here! Respond to it immediately!"""
NpcComOnSuccess#0,"""It looks like it retreated! Let's chase it down and defeat it!"""
