TrialName_1Object#0,"""Hostile Weapon Destruction"""
TrialBeginMsg_1Object#0,"""Destroy the hostile weapons that appeared!"""
TrialAbstract_1Object#0,"""Destroy the hostile weapons"""
TrialName_chsercore#0,"""Giruva Core Destruction"""
TrialAbstract_chsercore#0,"""Destroy the Giruva Core"""
TrialName_Multi#0,"""Hostile Object Destruction"""
TrialBeginMsg_Multi#0,"""Destroy the hostile object that appeared!"""
TrialAbstract_Multi#0,"""Destroy the hostile objects"""
NpcComOnBegin#0,"""Hostile enemy weaponry have appeared! Take them out immediately!"""
NpcComOnSuccess#0,"""＊＊成功"""
NpcComOnFailure#0,"""＊＊失敗"""
