TrialName#0,"""$(0)"""
TrialBeginMsg#0,"""Pass every <pict minigame_checkp> checkpoint within 2:30!"""
TrialAbstract#0,"""Pass every <pict minigame_checkp> checkpoint within 2:30"""
MLineMsg_TransferSoon#0,"""Matching complete. Transferring in 5 seconds."""
MLineMsg_Success#0,"""Field Race<br>\""$(0)\"" Clear!"""
MLineMsg_TimeOver#0,"""Field Race Failed<br>Time's Up!"""
MLineMsg_GoalNotice_01#0,"""$(0)/$(1)"""
MLineMsg_GoalNotice_02#0,"""$(0) has finished!"""
MLineMsg_GoalNotice_03#0,"""Clear Time: $(0):$(1).$(2)"""
MLineMsg_GoalNotice_04#0,"""Symbols Acquired: $(0)"""
MGoalNotice_PlayerFinish#0,"""$(0) has finished! ($(1)/$(2))"""
MBreakawayNotice_PlayerExit#0,"""You have left $(0)."""
