name_7700#0,"""謝里丹|シェリダン"""
ssn_014450_0001#0,"""恩？你說你是艾亞利奧的ARKS？<br>你來這兒做什麼的？"""
ssn_014450_0002#0,"""我就給你一個忠告吧。<br>別太小看了黎泰姆的沙漠。"""
ssn_014450_0003#0,"""那裡有著棘手的敵人，還有嚴酷的環境……<br>一丁點的粗心大意都有可能要了你的命。"""
ssn_014450_0101#0,"""聽說你去收集了食材是吧？<br>哼，要是我沒受這麼重的傷，我就親自去收集了……"""
ssn_014450_0102#0,"""不過，受了你的幫助也是事實。<br>還是得跟你說聲謝謝。"""
ssn_014450_0201#0,"""……什麼？<br>你說你是來探病的？"""
ssn_014450_0202#0,"""哼，多管閒事。"""
ssn_014450_0203#0,"""……不過也正好。<br>我有事情想拜託你。"""
ssn_014450_0301#0,"""我想讓你替我去野營地巡視一圈。<br>我現在把詳細的位置坐標發給你。"""
ssn_014450_0302#0,"""聽好了，你既然是被人拜託的，<br>那可就不能馬虎。"""
ssn_014450_0401#0,"""這樣啊，那算了……<br>趕緊去別處吧。"""
ssn_014450_0501#0,"""謝了啊。"""
ssn_014450_0502#0,"""你要是有什麼為難的，別客氣，來找我就行。<br>好吧？"""
