TrialName_1Enemy#0,"""ปราบปราม $(0)"""
TrialBeginMsg_1Enemy#0,"""กำจัด $(0)!"""
TrialAbstract_1Enemy#0,"""กำจัด $(0)"""
TrialName_Multi#0,"""ปราบปรามศัตรู"""
TrialBeginMsg_Multi#0,"""กำจัดศัตรู!"""
TrialAbstract_Multi#0,"""กำจัดศัตรู"""
NpcComOnForetaste#0,"""＊＊＊ดูเหมือนว่าจะมีศัตรูที่ต้องระวังอยู่แถวนั้น!<br>กรุณารีบไปปราบปรามด้วย"""
NpcComOnBegin#0,"""＊＊＊"""
NpcComOnSuccess#0,"""＊＊＊ยืนยันการกำจัดศัตรูแล้ว!<br>ขอบคุณที่รีบจัดการให้"""
NpcComOnFailure#0,"""＊＊＊ศัตรูถอยทัพไปแล้ว<br>……ตอนนี้ภัยคุกคามหายไปแล้วล่ะ"""
NpcComOnForetaste#1,"""ยืนยันสัญญาณของ $(0) แล้ว! ไปจัดการมันเลย!"""
NpcComOnBegin#1,"""อย่าลืมใช้ Dive Attack เพื่อไม่ให้มันหนีไปได้ล่ะ"""
NpcComOnSuccess#1,"""เอาล่ะ! ทำได้แล้ว!"""
NpcComOnFailure#1,"""โธ่เอ๊ย มันหนีไปแล้ว เอาไว้คราวหน้าก็แล้วกัน!"""
