name_7400#0,"""杜雅德拉|デュアドラ"""
ssn_014275_0001#0,"""我知道了。那我就說明一下吧。"""
ssn_014275_0101#0,"""……恩？<br>好像你的職業不是凌客啊。"""
ssn_014275_0102#0,"""你如果想學戰鬥方式的話，能不能麻煩你去趟“職業櫃檯”，<br>把職業換成凌客啊？"""
ssn_014275_0103#0,"""還有，也記得好好學習<br>凌客的“職業技能”。"""
ssn_014275_0104#0,"""不過，在那之前，<br>我就先簡單跟你說說關於凌客的知識吧。"""
ssn_014275_0201#0,"""凌客擅長於近距離到中距離的作戰。"""
ssn_014275_0202#0,"""尤其是很擅長空中作戰，<br>需要巧妙地分別使用武器與法術進行作戰。"""
ssn_014275_0203#0,"""也可以誘發物理倒地與屬性倒地，<br>使戰局向有利的方向發展。"""
ssn_014275_0204#0,"""還有就是，與其他職業相同，職業技能也是頗為重要的。<br>首先，你不如就先去精通一下“屬性衰弱”吧。"""
ssn_014275_0205#0,"""總之我給你出道課題，你去做做試試。"""
