name_7662#0,"""丹托雷|ダントレイ"""
ssn_011131_0001#0,"""行，那我就說說吧。"""
ssn_011131_0101#0,"""唔恩……<br>你的職業好像不是鬥士啊。"""
ssn_011131_0102#0,"""你要是想學習戰鬥方式，就去“職業櫃檯”，<br>把職業換成鬥士吧。"""
ssn_011131_0103#0,"""還有，記得也要好好學會<br>鬥士的“職業技能”哦！"""
ssn_011131_0104#0,"""……不過，就先跟你介紹介紹鬥士吧。"""
ssn_011131_0201#0,"""鬥士是擅長於超近距離戰鬥的職業。<br>它最當仁不讓的特點，當然就是高額的打擊力了！"""
ssn_011131_0202#0,"""攻擊動作也非常多彩多樣。<br>就是要用拳頭漂亮地把對方揍扁！"""
ssn_011131_0203#0,"""但與此同時，鬥士的攻擊範圍卻非常狹小。<br>這當鬥士啊，想辦法巧妙地鑽入敵人懷裡是很重要的。"""
ssn_011131_0204#0,"""而為了達成這個目標呢，最重要的就是職業技能啦！<br>這一開始，你就先習慣一下“極限突破”的用法吧。"""
ssn_011131_0205#0,"""對，所謂熟能生巧嘛！<br>我會給你出點課題的，你去做一做試試！"""
