name_7007#0,"""綠琳|リューリン"""
ssq_014110_0010#0,"""辛苦了。<br>這下，艾亞利奧的所有訓練設施，你都已經通關了。"""
ssq_014110_0020#0,"""我這邊收集到了不錯的數據。<br>也會對ARKS的訓練起到幫助的。"""
ssq_014110_0030#0,"""不過話說回來，這訓練設施還真是謎團重重的地方。"""
ssq_014110_0040#0,"""就連是誰什麼時候建的，<br>是為了什麼而建的都不知道。"""
ssq_014110_0050#0,"""我們姑且是在把它當做訓練設施來使用，<br>也許這正是它的本來用法吧……"""
ssq_014110_0060#0,"""……對了。你被成功認定為訓練設施大師了。<br>恭喜你。"""
ssq_014110_0070#0,"""總之，今後也請多加努力吧。"""
ssq_014110_0101#0,"""等等，你好像已經通關所有的訓練設施了。"""
ssq_014110_0102#0,"""唔唔唔……你還真是不可小覷呀。"""
ssq_014110_0103#0,"""不過話說回來，這訓練設施還真是謎團重重的地方。"""
ssq_014110_0104#0,"""就連是誰什麼時候建的，<br>是為了什麼而建的都不知道。"""
ssq_014110_0105#0,"""我們姑且是在把它當做訓練設施來使用，<br>也許這正是它的本來用法吧……"""
ssq_014110_0106#0,"""……對了。你被成功認定為訓練設施大師了。<br>恭喜你。"""
ssq_014110_0107#0,"""總之，今後也請多加努力吧。"""
