name_7422#0,"""妲娜|ダーナ"""
ssn_014440_0001#0,"""歡迎來到黎泰姆都市!"""
ssn_014440_0002#0,"""我是妲娜！<br>是這裡的看守員。"""
ssn_014440_0003#0,"""要是有敵人打過來了，我馬上就會告訴大家的。<br>到那時候，你也要來參加作戰哦。"""
ssn_014440_0101#0,"""我聽說你的本事好像相當不錯呀。<br>說是好像打倒了不少強烈的DOLLS？"""
ssn_014440_0102#0,"""不過，我可是不會被道聽途說迷惑雙眼的！<br>我還是得親自確認確認才行。"""
ssn_014440_0103#0,"""所以，你能不能給我展示展示你的本領？"""
ssn_014440_0201#0,"""那這樣，你能不能去黎泰姆聖旅壇打倒一下敵人？<br>我想你可能已經聽說過了，那裡淨是些強力的傢伙。"""
ssn_014440_0202#0,"""要是你把它們都收拾乾淨了，<br>我就承認你的能力！"""
ssn_014440_0301#0,"""這樣啊……我本來還挺像見識見識你的本領的。<br>好吧，那就等你改主意了再來吧。"""
ssn_014440_0401#0,"""說真的，你這本事簡直超乎我的想象。"""
ssn_014440_0402#0,"""謝謝你這次答應了我任性的要求。<br>很期待你今後的大顯身手哦。"""
