name_7423#0,"""芭芬|バフィン"""
ssn_014520_0001#0,"""咦，你這張面孔看著挺生的。<br>哦，原來是從艾亞利奧來的ARKS啊。"""
ssn_014520_0002#0,"""看你好像還挺強的嘛。<br>這次就來露兩手給我瞧瞧吧。"""
ssn_014520_0101#0,"""我說你有沒有在好好修行啊？"""
ssn_014520_0102#0,"""就算你打倒了黎泰姆游沙蟒，<br>可也不能就這麼滿足喔？"""
ssn_014520_0103#0,"""就來好好磨練一下本領，直至抵達極限吧！"""
ssn_014520_0201#0,"""你不管用哪個職業都沒問題。<br>總之呢，就先去把自己鍛煉到極限試試！"""
ssn_014520_0202#0,"""等你鍛煉好了，就再來一趟我這兒吧。<br>我會親眼好好檢查你一番的！"""
ssn_014520_0301#0,"""欸，居然來這一套……？<br>那就等你改主意了再來找我吧。"""
ssn_014520_0401#0,"""哦，你回來了啊！<br>讓我看看……"""
ssn_014520_0402#0,"""恩，還不錯嘛！<br>我看得出來，你的本事提升了挺多的嘛。"""
ssn_014520_0403#0,"""不過，要是對自己的力量太過滿足，可就不會有成長了。<br>但我相信有朝一日，你肯定能超越這個極限的！"""
ssn_014520_0404#0,"""今後你也要修行進步才是。<br>加油哦－－！"""
ssn_014520_0501#0,"""恩，還不錯嘛！<br>我看得出來，你的本事提升了挺多的嘛。"""
ssn_014520_0502#0,"""不過，要是對自己的力量太過滿足，可就不會有成長了。<br>但我相信有朝一日，你肯定能超越這個極限的！"""
ssn_014520_0503#0,"""今後你也要修行進步才是。<br>加油哦－－！"""
