ssn_012220_0001#0,"""有沒有享受採集的樂趣啊？"""
ssn_012220_0002#0,"""在都市外，應該能發現各種採集素材。<br>包括蔬菜、水果、礦石，還有親馴種身上的肉之類的。"""
ssn_012220_0003#0,"""這些食材與素材，都是會對作戰起到幫助的。<br>所以要是發現了，記得去收集一下啊！"""
ssn_012220_0101#0,"""喲，你最近如何？"""
ssn_012220_0102#0,"""拿到了新武器和新防具，還做了強化什麼的，<br>最近你對礦石的需求，也差不多該開始增加了吧？"""
ssn_012220_0103#0,"""想不想再多知道一些關於礦石的知識啊？"""
ssn_012220_0201#0,"""貳型紫晶，是一種閃著紫色光輝的，有棱有角的礦石。<br>光子岩塊的顏色也和它差不多，不過它們是性質不同的兩種礦石。"""
ssn_012220_0202#0,"""雖說這兩種礦石都很漂亮，<br>但它們也是可以在道具實驗室裡，用於鍛造裝備的。"""
ssn_012220_0203#0,"""它們都能在南艾亞利奧的洞窟中採集到。<br>你不如就去試著找找吧。"""
ssn_012220_0301#0,"""唔，這樣啊…<br>這還真是可惜。"""
ssn_012220_0302#0,"""要是你想學習礦石的知識了，<br>隨時都可以來找我。"""
