TrialName_1Enemy#0,"""กำจัด $(0)"""
TrialBeginMsg_1Enemy#0,"""จัดการ $(0) ซะ!"""
TrialAbstract_1Enemy#0,"""จัดการ $(0)"""
TrialName_Multi#0,"""กำจัดศัตรู"""
TrialBeginMsg_Multi#0,"""จัดการศัตรูซะ!"""
TrialAbstract_Multi#0,"""จัดการศัตรู"""
Line_HelpEventManonAndAina#0,"""สนับสนุนการต่อสู้ (Aina & Manon)<br>ความเร็วในการเคลื่อนที่เพิ่มขึ้น<br>พลังโจมตีเพิ่มขึ้น"""
Line_HelpEventNadereh#0,"""สนับสนุนการต่อสู้ (Nadereh)<br>พลังป้องกันศัตรูลดลง<br>Darlet ถูกปิดการใช้งาน"""
Line_HelpEventIlma#0,"""สนับสนุนการต่อสู้ (Ilma)<br>เพิ่ม Hit เมื่อโจมตีศัตรู"""
Line_HelpEventGlen#0,"""สนับสนุนการต่อสู้ (Guren)<br>การฟื้นฟู PP เพิ่มขึ้น"""
NpcComGod3ManonHelpEvent01#0,"""/voicemsc_020060_0370 การปรับแต่งของเราเสร็จทันเวลาพอดี"""
NpcComGod3AinaHelpEvent01#0,"""/voicemsc_020060_0360 นี่ Aina พูดนะ เราคอยสนับสนุนอยู่!"""
NpcComGod3Nadereh01#0,"""/voicemsc_020060_0380 ดูเหมือนจะถึงตาฉันแล้วสิ"""
NpcComGod3IlmaHelpEvent01#0,"""/voicemsc_020060_0390 เอาล่ะ ฉันมาช่วยแล้ว"""
NpcComGod3IlmaHelpEvent02#0,"""/voicemsc_020060_0400 ยังไม่ได้ทดสอบเลย แต่น่าจะใช้ได้ผลแหละ..."""
NpcComGod3Glen01#0,"""/voicemsc_020060_0410 กำลังให้การสนับสนุน"""
NpcComGod3Glen02#0,"""/voicemsc_020060_0420 อัดพวกมันเผื่อพวกเราด้วยล่ะ"""
