name_7020#0,"""穆拉|ムーラ"""
ssn_014560_0001#0,"""歡迎來到中央都市。"""
ssn_014560_0002#0,"""我叫穆拉，<br>是娜德蕾芙大人的侍女。"""
ssn_014560_0003#0,"""由於娜德蕾芙大人她忙於事務，<br>所以若是有什麼需要，就請告訴我吧。"""
ssn_014560_0011#0,"""我聽聞你們在莫拉巴峽谷的大顯身手了。"""
ssn_014560_0012#0,"""能得到幾位的鼎力相助，<br>我們也非常感謝。"""
ssn_014560_0013#0,"""雖然娜德蕾芙大人平時很忙，不怎麼會露面，<br>但她似乎也很開心。"""
ssn_014560_0014#0,"""今後也拜託各位了。"""
ssn_014560_0021#0,"""娜德蕾芙大人似乎受傷了……"""
ssn_014560_0022#0,"""然而，她卻完全沒有休息，<br>一直都在親自指揮……"""
ssn_014560_0023#0,"""好擔心她的身體。<br>希望她不要太過勉強了……"""
ssn_014560_0101#0,"""你來得正是時候。<br>我正好有件事情想要拜託你一下。"""
ssn_014560_0102#0,"""你知道“光子調諧器”嗎？<br>沒錯，指的就是對歌聲有反應的那個裝置。"""
ssn_014560_0103#0,"""因為實在是已經放置太久了，<br>所以我想去確認一下各地裝置的情況……"""
ssn_014560_0201#0,"""我會把光子調諧器的位置情報發送給你的，<br>希望你可以去幫我調查一下。"""
ssn_014560_0202#0,"""應該會需要你兜兜轉轉去好幾個地方。<br>所以可能會辛苦一些，不過就拜託你了。"""
ssn_014560_0301#0,"""好吧，現在太忙了是嘛。<br>等你有空的時候，若能來協助一下我，我將感激不盡。"""
ssn_014560_0401#0,"""都市裡的住民們，<br>也在一點一點地增加與音樂的接觸。"""
ssn_014560_0402#0,"""若是能像從前那樣，<br>回到每個人都載歌載舞的時代就好了。"""
