name_7211#0,"""香蒂|シャンディー"""
ssn_019050_002_0001#0,"""謝謝你能過來。<br>我再做個自我介紹吧。"""
ssn_019050_002_0002#0,"""我叫香蒂。我正在研究<br>發生在哈爾法上的各種特異現象。"""
ssn_019050_002_0003#0,"""我之所以把你叫過來，<br>是因為想拜託你來幫忙調查一下這些現象。"""
ssn_019050_002_0004#0,"""雖然在哈爾法上一整年的氣溫變化也不算大，<br>但唯獨這個時期，氣溫會變得很低。"""
ssn_019050_002_0005#0,"""有可能是受到了這個影響，<br>一部分的樹木發生了一些變化，就比如變成了白色。"""
ssn_019050_002_0006#0,"""我想請你協助我們調查這一現象。"""
ssn_019050_002_0007#0,"""首先嘛……我想想，<br>能不能拜託你去收集一下，只在這個時期才能見到的採集素材呢？"""
ssn_019050_002_0008#0,"""我們有給協助者準備特別的報酬。"""
ssn_019050_002_0009#0,"""那就拜託你咯。"""
ssn_019050_002_0010#0,"""謝謝你能過來。"""
ssn_019050_002_0011#0,"""其實這次，我也想讓你<br>幫忙調查一下……"""
ssn_019050_002_0012#0,"""我們有給協助者準備特別的報酬。"""
ssn_019050_002_0013#0,"""那就拜託你咯。"""
ssn_019050_002_0014#0,"""你回來啦。<br>收集到了好多好多珍貴的數據呢！"""
ssn_019050_002_0015#0,"""我會基於這些數據，去探明氣溫低下的原因，<br>並調查它對生態系統與敵人造成的影響的。"""
ssn_019050_002_0016#0,"""還有就是，我在做調查的時候，有別的部門的孩子<br>來跟我打了個招呼，所以我就把你介紹給她了。"""
ssn_019050_002_0017#0,"""沒準那孩子對你會有什麼請求呢。<br>如果不嫌麻煩，到時候就請去幫幫她吧。"""
ssn_019050_002_0018#0,"""這次就多謝啦。"""
ssn_019050_002_0019#0,"""而至於報酬，可以通過已經交給你的點數進行交換，<br>有什麼需要的，都可以告訴我。"""
ssn_019050_002_0020#0,"""之後也拜託你啦。"""
ssn_019050_002_0021#0,"""我們正在專注於調查<br>氣溫低下的原因。"""
ssn_019050_002_0022#0,"""無論是怎樣細微的數據都可以，<br>只要可以提供給我們，就再好不過了。"""
npc_menu_0001#0,"""接受委託"""
npc_menu_0002#0,"""使用季節點數交換道具"""
npc_menu_0003#0,"""詢問關於季節活動的信息"""
npc_menu_0004#0,"""關閉菜單"""
npc_menu_0005#0,"""關於“季節活動”"""
npc_menu_0006#0,"""關於“季節活動角色”"""
npc_menu_0007#0,"""關於“每日／每週委託”"""
npc_menu_0008#0,"""關於“搗蛋標誌”"""
npc_menu_0009#0,"""關於“季節採集”"""
npc_menu_0010#0,"""關於“季節地區瑪古”"""
npc_menu_0011#0,"""關於“季節型敵人”"""
npc_menu_0012#0,"""關於“世界試煉”"""
npc_menu_0013#0,"""沒有想問的"""
