name_7707#0,"""瑪琳|マーリン"""
ssn_014424_0001#0,"""你又來幫忙啦？謝啦。<br>所以，你採到蔬菜了嘛？"""
ssn_014424_0101#0,"""遞交10個清爽的黎泰姆蔓越莓"""
ssn_014424_0102#0,"""放棄"""
ssn_014424_0201#0,"""謝啦。<br>我都收到了。"""
ssn_014424_0202#0,"""咦，不過這些可能不太夠……<br>不好意思，能拜託你再多去收集一些嗎？"""
ssn_014424_0203#0,"""啊……沒錯。<br>這次就拜託你去收集蔬菜了。"""
ssn_014424_0301#0,"""欸，這還挺新鮮的嘛。<br>這些食材真的很不錯呢。"""
ssn_014424_0302#0,"""這樣就營養就夠啦。大家肯定很快就能恢復健康了。<br>好了，那我就趕緊露露手藝吧。"""
ssn_014424_0401#0,"""你還好嗎？<br>是不是累了？"""
ssn_014424_0402#0,"""你要是餓了，<br>就讓我來給你做點好好吃的吧。"""
ssn_014424_0501#0,"""哎呀，真是辛苦你了。<br>不過這下，應該就能做出讓人精神百倍的料理了。"""
ssn_014424_0502#0,"""好了，那我就趕緊開始工作吧。"""
