name_7425#0,"""蘿娜爾汀|ロナルディン"""
ssn_014610_0001#0,"""原來是渡星者……<br>看樣子，你也有著相當不錯的本領了吧。"""
ssn_014610_0002#0,"""雖然我也想給你推薦幾個由我構想的訓練項目……<br>不過看來還為時尚早。"""
ssn_014610_0003#0,"""等你練一練之後，再來找我吧。<br>當然了，還是得你本人有這個意願就是了……"""
ssn_014610_0011#0,"""是你啊……"""
ssn_014610_0012#0,"""我倒是想推薦你點訓練項目……<br>但似乎還有點為時過早。"""
ssn_014610_0013#0,"""等你稍微練練再來吧。"""
ssn_014610_0101#0,"""我是ARKS上級訓練教官蘿娜爾汀……<br>和莉亞梅一樣，也在進行ARKS的活動支援……"""
ssn_014610_0102#0,"""我為你準備了一套訓練項目。<br>如何，要不要做一做……？"""
ssn_014610_0103#0,"""……不過我先給你個忠告，我的訓練可沒那麼輕鬆。<br>在中途放棄的人也不在少數……"""
ssn_014610_0104#0,"""若只是抱著隨隨便便的心態，怕是會很困難的……"""
ssn_014610_0151#0,"""你來了啊……"""
ssn_014610_0152#0,"""看上去，<br>你倒是也沒有懈怠過訓練……"""
ssn_014610_0153#0,"""我為你準備了一套訓練項目。<br>如何，要不要做一做……？"""
ssn_014610_0154#0,"""……可我的訓練，也沒那麼輕鬆。"""
ssn_014610_0155#0,"""若只是抱著隨隨便便的心態，怕是會很困難的……"""
ssn_014610_0201#0,"""我的訓練可沒那麼輕鬆。<br>在中途放棄的人也不在少數……"""
ssn_014610_0202#0,"""若只是抱著隨隨便便的心態，怕是會很困難的……"""
ssn_014610_0251#0,"""我的訓練可沒那麼輕鬆……"""
ssn_014610_0252#0,"""若只是抱著隨隨便便的心態，怕是會很困難的……"""
ssn_014610_0301#0,"""了不起。居然能完成到這種程度……"""
ssn_014610_0302#0,"""呵呵……真是讓我樂了個盡興。<br>希望你今後，也能繼續磨練你的本領……"""
ssn_014610_0303#0,"""而我，也會為你準備更為充實的訓練項目的。<br>就多多期待吧。"""
