name_7661#0,"""巴西尼雅|バシニア"""
ssn_013010_0001#0,"""歡迎來到中央都市。"""
ssn_013010_0002#0,"""你現在是還在學習各種知識吧？<br>雖然沒準是挺不容易的，但要加油哦。"""
ssn_013010_0101#0,"""說起來，你知道“塔”嗎？<br>……不不，我說的不是那邊的中央塔。"""
ssn_013010_0102#0,"""你要是不知道，就讓我來教教你吧。"""
ssn_013010_0201#0,"""要是想知道了，就再來找我哦。"""
ssn_013010_0103#0,"""看起來你戰鬥力已經足夠了啊。<br>我覺得你現在這個狀態，可以隨時去挑戰一下塔了哦。"""
ssn_013010_0104#0,"""為了以防萬一，我覺得你還是提升一下戰鬥力比較好。<br>那今後也要加油哦。"""
ssn_013010_0151#0,"""這塔呢，就和繭差不多，<br>屬於算是一種……訓練設施吧應該說。"""
ssn_013010_0152#0,"""雖然塔上面的裝飾和繭差不多，<br>但兩者的造型不一樣，你一下子就能認出來的。"""
ssn_013010_0153#0,"""可是由於塔的內部，比起繭要更大，也更難以攻略，<br>所以還是建議你扎扎實實地提升好戰鬥力之後再去挑戰哦。"""
ssn_013010_0154#0,"""那你就加油吧。"""
ssn_013010_0301#0,"""在塔中能獲得的訓練效果比繭要高，<br>你要是找到了其他的，就去挑戰一下吧。"""
ssn_013010_0302#0,"""記得到時候，<br>也要先扎扎實實地提升好戰鬥力之後再去哦。"""
ssn_013010_0303#0,"""啊，對了。<br>說到這戰鬥力啊……"""
ssn_013010_0304#0,"""要是戰鬥力不夠，<br>有一些緊急作戰，你也是參加不了的哦。"""
ssn_013010_0305#0,"""為了以防萬一，我覺得你還是提升一下戰鬥力比較好。<br>那今後也要加油哦。"""
