name_7400#0,"""杜雅德拉|デュアドラ"""
ssn_014270_0010#0,"""沒見過的面孔呢。<br>哦……？看來你真是剛來這中央都市啊。"""
ssn_014270_0020#0,"""等你稍微練練再來找我吧。"""
ssn_014270_0030#0,"""你來了啊。"""
ssn_014270_0040#0,"""我是ARKS複合技能教導官，杜雅德拉。"""
ssn_014270_0050#0,"""我聽過你的傳聞了。<br>似乎你作為ARKS，本領磨練得還不賴嘛。"""
ssn_014270_0055#0,"""你要是想學複合技能了，需不需要我教教你？"""
ssn_014270_0060#0,"""這樣啊……<br>等你感興趣了，就再來找我吧。"""
ssn_014270_0070#0,"""不要鬆懈，要努力訓練哦。"""
ssn_014270_0080#0,"""只要照著我教你的去做，<br>你的技術絕對是會變得更為熟練的。"""
ssn_014270_0101#0,"""通過這訓練，你應該也切身體會到<br>職業技能的重要性了。"""
ssn_014270_0102#0,"""希望你今後也能積累經驗，實力更上一層樓。<br>就去鑽研戰鬥技術，爭取有朝一日將武士之道登峰造極吧。"""
ssn_014270_0103#0,"""希望你今後也能積累經驗，實力更上一層樓。<br>就去磨練技巧，去將多項複合技能登峰造極吧。"""
