name_7663#0,"""夏爾奇|シャルキ"""
ssn_011141_0001#0,"""……我知道了。我就說明一下好了。"""
ssn_011141_0101#0,"""……雖然我是想這麼說，<br>但你的職業好像並不是遊俠。"""
ssn_011141_0102#0,"""……你如果想學習戰鬥方式，得去“職業櫃檯”<br>把職業換成遊俠才行。"""
ssn_011141_0103#0,"""……也記得去學習一下<br>遊俠的“職業技能”。"""
ssn_011141_0104#0,"""……不過，我就先簡單跟你說明一下游俠吧。"""
ssn_011141_0201#0,"""……遊俠是擅長於遠距離射擊的職業。"""
ssn_011141_0202#0,"""……因為和敵人拉開了距離，所以也相應地能安全作戰。"""
ssn_011141_0203#0,"""……而很重要的一點呢，就是職業技能了。"""
ssn_011141_0204#0,"""其中你應該最先掌握熟練的，是“脆化彈”。<br>……和棘手的敵人作戰時會很有效。"""
ssn_011141_0205#0,"""……去實戰中試試吧。我來給你出訓練課題。"""
