TrialName#0,"""Rapid Elimination"""
TrialBeginMsg#0,"""กำจัดศัตรูทั้งหมดภายในเวลาที่กำหนด!"""
TrialAbstract#0,"""กำจัดศัตรูทั้งหมดภายในเวลาที่กำหนด"""
Toast_AddTimeLimitWaveClear#0,"""กำจัดศัตรูแล้ว!<br><yellow>เพิ่มเวลาจำกัด: 0 วินาที<c>"""
Toast_WaveClear_11300060_01#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณศัตรูเพิ่มเข้ามา!"""
Toast_WaveClear_11300060_02#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณศัตรูเพิ่มเข้ามา!"""
Toast_WaveClear_11300060_03#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณศัตรูเพิ่มเข้ามา!"""
Toast_WaveClear_11300060_04#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณศัตรูเพิ่มเข้ามา!"""
Toast_WaveClear_11300060_05#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณศัตรูเพิ่มเข้ามา!"""
Toast_WaveClear_11300060_06#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณศัตรูเพิ่มเข้ามา!"""
Toast_WaveClear_11300060_07#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณศัตรูเพิ่มเข้ามา!"""
Toast_WaveClear_11300060_08#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณศัตรูเพิ่มเข้ามา!"""
Toast_WaveClear_11300060_09#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณพลังงานที่แข็งแกร่งเข้ามา!"""
Toast_WaveClear_11300070_01#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณศัตรูเพิ่มเข้ามา!"""
Toast_WaveClear_11300070_02#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณศัตรูเพิ่มเข้ามา!"""
Toast_WaveClear_11300070_03#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณศัตรูเพิ่มเข้ามา!"""
Toast_WaveClear_11300070_04#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณศัตรูเพิ่มเข้ามา!"""
Toast_WaveClear_11300070_05#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณศัตรูเพิ่มเข้ามา!"""
Toast_WaveClear_11300070_06#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณศัตรูเพิ่มเข้ามา!"""
Toast_WaveClear_11300070_07#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณศัตรูเพิ่มเข้ามา!"""
Toast_WaveClear_11300070_08#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณศัตรูเพิ่มเข้ามา!"""
Toast_WaveClear_11300070_09#0,"""กำจัดศัตรูแล้ว!<br>มีสัญญาณพลังงานที่แข็งแกร่งเข้ามา!"""
NpcComOnBegin#0,"""ยืนยันการปรากฏตัวของศัตรู! โปรดกำจัดพวกมันให้เร็วที่สุด"""
NpcComOnFirstAddTime#0,"""การกำจัดศัตรูพวกนี้ซื้อเวลาให้เราก่อนที่พวกที่เหลือจะถอยทัพไป"""
NpcComOnWaveClear#0,"""ยืนยันสัญญาณศัตรูเพิ่มเติม! เตรียมพร้อมสำหรับการต่อสู้!"""
NpcComOnSuccessByTimeOver#0,"""...การโจมตีของศัตรูหยุดลงแล้ว คุณป้องกันตัวเองได้ดีมาก ขอบคุณสำหรับความร่วมมือ"""
NpcComOnSuccess#0,"""กำจัดศัตรูทั้งหมดแล้ว! ภารกิจสำเร็จ ขอบคุณสำหรับความร่วมมือ"""
