name_7707#0,"""瑪琳|マーリン"""
ssn_014334_0001#0,"""我從琳切那兒聽說了。<br>你是來送親馴種的肉的吧？"""
ssn_014334_0101#0,"""遞交10個酥脆的黎泰姆肉"""
ssn_014334_0102#0,"""放棄"""
ssn_014334_0201#0,"""謝啦。<br>我都收到了。"""
ssn_014334_0202#0,"""咦，不過這些可能不太夠……<br>不好意思，能拜託你再多去收集一些嗎？"""
ssn_014334_0203#0,"""啊……沒錯。<br>這次就拜託你去收集肉了。"""
ssn_014334_0301#0,"""哎呀，真是辛苦你了。<br>不過這下，應該就能做出讓人精神百倍的料理了。"""
ssn_014334_0302#0,"""好了，那我就趕緊開始工作吧。"""
ssn_014334_0401#0,"""哎呀，真是辛苦你了。<br>不過這下，應該就能做出讓人精神百倍的料理了。"""
ssn_014334_0402#0,"""好了，那我就趕緊開始工作吧。"""
ssn_014334_0501#0,"""你還好嗎？<br>是不是累了？"""
ssn_014334_0502#0,"""你要是餓了，<br>就讓我來給你做點好好吃的吧。"""
