name_7662#0,"""丹托雷|ダントレイ"""
ssn_011121_0001#0,"""行，那我就說說吧。"""
ssn_011121_0101#0,"""唔恩……<br>你的職業好像不是獵人啊。"""
ssn_011121_0102#0,"""你要是想學習戰鬥方式，就去“職業櫃檯”，<br>把職業換成獵人吧。"""
ssn_011121_0103#0,"""還有，記得也要好好學會<br>獵人的“職業技能”哦！"""
ssn_011121_0104#0,"""……不過，就先跟你介紹介紹獵人吧。"""
ssn_011121_0201#0,"""獵人是擅長於近距離戰鬥的職業！"""
ssn_011121_0202#0,"""面對敵人的攻擊，進行防禦，或用滑步進行迴避……接著使出一記強力的反擊猛砸對方！<br>這就是獵人基本的戰鬥方式。"""
ssn_011121_0203#0,"""只要你靈活運用職業技能，就能主動打出反擊，<br>也不會再對接敵作戰抱有畏懼了。"""
ssn_011121_0204#0,"""這一開始嘛，你就先掌握一下“霸體獵人”吧。"""
ssn_011121_0205#0,"""我會給你出點課題的，你去做一做試試！"""
ssn_011121_0300#0,"""這樣啊……<br>要是想成為獨當一面之人了，記得再來啊！"""
