ssn_014210_0001#0,"""有沒有享受採集的樂趣啊？"""
ssn_014210_0002#0,"""在都市外，應該能發現各種採集素材。<br>包括蔬菜、水果、礦石，還有親馴種身上的肉之類的。"""
ssn_014210_0003#0,"""這些食材與素材，都是會對作戰起到幫助的。<br>所以要是發現了，記得去收集一下啊！"""
ssn_014210_0004#0,"""那就加油吧！"""
ssn_014210_0005#0,"""順便一提，只要看一眼世界地圖，<br>就能確認到礦石之類的獲取場所。這個你要記好啊。"""
ssn_014210_0101#0,"""迄今為止，你已經去中央艾亞利奧、北艾亞利奧、南艾亞利奧<br>找過礦石了。"""
ssn_014210_0102#0,"""而這最後，我就教教你能在西艾亞利奧找到的礦石吧。"""
ssn_014210_0201#0,"""在西艾亞利奧，<br>能採得到貳型紫晶與叁型隕鐵。"""
ssn_014210_0202#0,"""這兩種礦石，之前我都有介紹過，<br>你還記得吧？"""
ssn_014210_0203#0,"""那就跟從前一樣，<br>你去找找吧！"""
ssn_014210_0301#0,"""唔，這樣啊…<br>這還真是可惜。"""
ssn_014210_0302#0,"""要是你想學習礦石的知識了，<br>隨時都可以來找我。"""
