TrialName_1Enemy#0,"""กำจัด $(0)"""
TrialName_1Enemy_normal#0,"""กำจัดศัตรู"""
TrialBeginMsg_1Enemy#0,"""จัดการ $(0) ซะ!"""
TrialBeginMsg_1Enemy_?????#0,"""จัดการ ????? ที่ปรากฏตัวออกมาซะ!"""
TrialAbstract_1Enemy#0,"""จัดการ $(0)"""
TrialAbstract_1Enemy_?????#0,"""จัดการ ?????"""
TrialName_Multi#0,"""กำจัดศัตรู"""
TrialBeginMsg_Multi#0,"""จัดการศัตรูซะ!"""
TrialAbstract_Multi#0,"""จัดการศัตรู"""
GaugeCharge#0,"""ชาร์จแบตเตอรี่ M.A.R.S. บางส่วนแล้ว"""
NpcComOnForetaste#0,"""ระวังตัวด้วย ดูเหมือนจะมีศัตรูอยู่ในพื้นที่!<br>โปรดรีบจัดการให้เรียบร้อย"""
NpcComOnSuccess#0,"""ยืนยันการกำจัดศัตรูแล้ว!<br>ขอบคุณที่ตอบสนองอย่างรวดเร็ว"""
NpcComOnFailure#0,"""ศัตรูได้ล่าถอยไปแล้ว<br>...ภัยคุกคามหายไปชั่วคราว"""
NpcComOnForetasteNGS2#0,"""/voice11_voice_navi001_trial_0001_002 ตรวจพบศัตรูที่แข็งแกร่ง! ปกติแล้วจะไม่พบศัตรูแบบนี้ในพื้นที่นั้น โปรดระวังตัวด้วย!"""
NpcComOnSuccessNGS2#0,"""/voice11_voice_navi001_trial_0001_069 กำจัดศัตรูสำเร็จ! ขอบคุณมากที่จัดการให้"""
NpcComOnFailureNGS2#0,"""/voice11_voice_navi001_trial_0001_073 ศัตรูกำลังล่าถอย ไม่ต้องตามไป ให้ไปจดจ่อกับเป้าหมายอื่นแทน"""
NpcComOnForetaste_DryverusTrial#0,"""ดูเหมือนจะมีศัตรูที่แข็งแกร่งซุ่มซ่อนอยู่ในพื้นที่นั้น! โปรดรับมือทันที"""
NpcComOnSuccess_DryverusTrial#0,"""ความชั่วร้ายถูกกำจัดแล้ว ทำได้ดีมาก!"""
NpcComOnForetasteNGS2#1,"""อา... เราตรวจพบสัญญาณของศัตรูที่มีเอกลักษณ์ เราต้องการข้อมูลเกี่ยวกับพวกมันเพิ่มเติม โปรดช่วยจัดการที"""
NpcComOnSuccessNGS2#1,"""สมกับเป็น <%me> จริงๆ ขอบคุณสำหรับความช่วยเหลือนะ"""
NpcComOnFailureNGS2#1,"""ยืนยันการล่าถอยของศัตรู... ไม่ต้องกังวลไป มุ่งหน้ากันต่อเถอะ!"""
Zsh_Begin#0,"""/voice11_voice_navi002_trial_0001_021 ยืนยันการปรากฏตัวของศัตรูที่แข็งแกร่ง<br>รบกวนเข้าไปจัดการด้วย"""
Zsh_Finish#0,"""/voice11_voice_navi002_trial_0001_067 ยืนยันการปราบเป้าหมายแล้ว<br>ฝากดำเนินการสำรวจต่อไปด้วย"""
