name_7425#0,"""阿蒂拉|アディラ"""
ssn_012030_0001#0,"""歡迎來到中央都市！"""
ssn_012030_0002#0,"""好開心呀，又增加了個同伴！<br>我們就一起加油吧！"""
ssn_012030_0101#0,"""你就是布魯達說的那個人吧！<br>我聽說了哦。想知道能運用在戰鬥中的情報是吧？"""
ssn_012030_0102#0,"""我想想啊……<br>那就告訴你這個好了，你知道裝備的“特殊能力”嗎？"""
ssn_012030_0103#0,"""你要是不知道，我就來教教你吧！"""
ssn_012030_0104#0,"""好！那你可聽好了啊！"""
ssn_012030_0105#0,"""這“特殊能力”啊，<br>簡單點說呢，就是補正武器與防具能力的東西啦。"""
ssn_012030_0106#0,"""你下次在確認裝備數據的時候，<br>記得要留意一下哦。"""
ssn_012030_0107#0,"""而且其實啊……這“特殊能力”，<br>不僅可以追加到同一件裝備上，還能替換追加到其他裝備上哦。"""
ssn_012030_0108#0,"""雖說“道具實驗室”會幫忙調整裝備，<br>但是還需要“特殊能力膠囊”才行……"""
ssn_012030_0109#0,"""那把我的特殊能力膠囊給你！<br>你就拿著這個去實驗室吧！"""
ssn_012030_0201#0,"""是嘛？那如果你想了解了，就再來找我哦！"""
