name_7664#0,"""霍尼安|ホーニャン"""
ssn_011161_0010#0,"""呵呵呵，還是挺用心的嘛。"""
ssn_011161_0020#0,"""……欸，不過你的職業不是法師哦？"""
ssn_011161_0030#0,"""你要是想讓我教你戰鬥方式，就去“職業櫃檯”，<br>把職業換成法師吧。"""
ssn_011161_0040#0,"""還有，也別忘了好好學習<br>法師的“職業技能”哦。"""
ssn_011161_0050#0,"""不過嘛，就先簡單跟你介紹一下吧。"""
ssn_011161_0060#0,"""法師是擅長於從遠距離使用法術攻擊的職業。"""
ssn_011161_0070#0,"""基本的戰鬥方式，<br>就是用敵人的“弱點屬性”進行攻擊啦。"""
ssn_011161_0080#0,"""法師的技能嘛，很多都是提升體內的光子儲藏量，<br>或是快速回復消耗掉的光子的那種。"""
ssn_011161_0090#0,"""我想想……初學者的話，<br>可能還是先習慣一下“光子閃耀”比較好。"""
ssn_011161_0100#0,"""我給你出些訓練的課題。你去做做試一試吧。"""
