TrialName_1Enemy#0,"""Alien: กำจัด $(0)!"""
TrialBeginMsg_1Enemy#0,"""จัดการ $(0) ซะ!"""
TrialAbstract_1Enemy#0,"""จัดการ Alien: $(0)"""
Growup_EnemyBuff_1#0,"""/atime5 ศัตรูที่มีฉายา 'Alien' จะได้รับบัฟดังต่อไปนี้:<br>$(0)"""
Growup_EnemyBuff_2#0,"""/atime5 ศัตรูที่มีฉายา 'Alien' จะได้รับบัฟดังต่อไปนี้:<br>$(0)<br>$(1)"""
Growup_EnemyBuff_3#0,"""/atime5 ศัตรูที่มีฉายา 'Alien' จะได้รับบัฟดังต่อไปนี้:<br>$(0)<br>$(1)<br>$(2)"""
Growup_EnemyBuff_4#0,"""/atime5 ศัตรูที่มีฉายา 'Alien' จะได้รับบัฟดังต่อไปนี้:<br>$(0)<br>$(1)<br>$(2)<br>$(3)"""
Growup_EnemyBuff_5#0,"""/atime5 ศัตรูที่มีฉายา 'Alien' จะได้รับบัฟดังต่อไปนี้:<br>$(0)<br>$(1)<br>$(2)<br>$(3)<br>$(4)"""
SuccessByLifePoint0#0,"""/atime5 เคลียร์ Trial<br>LP หมดแล้ว!"""
SuccessByTimeOver#0,"""/atime5 เคลียร์ Trial<br>หมดเวลา!"""
SuccessByAnnihilation#0,"""\\ボスエネミーを撃破したためトライアル終了"""
NpcComOnForetaste#0,"""＊＊予兆"""
NpcComOnSuccess#0,"""＊＊成功"""
NpcComOnFailure#0,"""＊＊失敗"""
