name_7710#0,"""魯斯蘭|ルスラン"""
ssn_014470_0001#0,"""莫非，<br>你是來自艾亞利奧的ARKS嗎？"""
ssn_014470_0002#0,"""……這樣啊，<br>你還認識嘉羅亞先生！"""
ssn_014470_0003#0,"""其實我之前曾經受過<br>嘉羅亞先生他很大的照顧。"""
ssn_014470_0004#0,"""……是的，他是個十分出色ARKS。<br>既強大又勇敢，充滿著領導力，每一個人都很喜歡他。"""
ssn_014470_0005#0,"""所以，聽你剛才說的那些，我真的很難以置信。<br>那位嘉羅亞先生他，怎麼會……"""
ssn_014470_0006#0,"""………"""
ssn_014470_0007#0,"""說起來，我之前也見到他的女兒愛娜小姐了。<br>各位要是有什麼困難，還請不要客氣，直言就好。"""
ssn_014470_0101#0,"""你有去過黎泰姆的塔嗎？"""
ssn_014470_0102#0,"""嘉羅亞先生曾經就有挑戰過它。<br>當然，他也完美地將其通關了。"""
ssn_014470_0103#0,"""不過，嘉羅亞先生他也說了。<br>說黎泰姆的塔，比艾亞利奧的還要更難。"""
ssn_014470_0104#0,"""怎麼樣？你要不要也去挑戰一下呢？"""
ssn_014470_0201#0,"""不過最重要的，還是千萬不要逞強。"""
ssn_014470_0202#0,"""其實這句話也是嘉羅亞先生說過的。<br>結果我講得就跟是我自己說的似的。啊哈哈……"""
ssn_014470_0203#0,"""那就請加油吧。"""
ssn_014470_0301#0,"""這樣啊，我明白了。<br>如果想要挑戰了，就請再來找我說一聲吧。"""
ssn_014470_0401#0,"""我也得不輸給你，好好努力才行。<br>然後有朝一日，成長為像嘉羅亞先生一樣的ARKS……"""
ssn_014470_0402#0,"""這次真的是太感謝了。<br>你給予了我很大的激勵。"""
