TrialName#0,"""Sonner Destruction"""
TrialBeginMsg#0,"""Destroy all Dazzle Pods & the Sonner!"""
TrialAbstract#0,"""Destroy Dazzle Pods & the Sonner"""
BarrierDestroy#0,"""$(0) has destroyed Dazzle Pods."""
NpcComOnBegin#0,"""Automatic Grenade Launcher deployment confirmed!"""
NpcComOnBegin2#0,"""The main body of the \""Sonner\"" is protected by a shield.<br>Destroy the \""Dazzle Pods\"" nearby."""
NpcComOnSuccess#0,"""Sonner destruction confirmed.<br>Thank you for your participation."""
NpcComOnSuccess2#0,"""Please retrieve the supplies from the Sonner wreckage."""
NpcComOnFailure#0,"""ゾンネルが撤退……。<br>次の目標に向かってください。"""
NpcComOnDestroyMachineFirst#0,"""周辺地形を解析中。<br>ダズルポッドの位置情報を転送します。"""
NpcComOnDestroyMachineHalf#0,"""周辺地形の解析完了。<br>全ダズルポッドの座標を転送します。"""
NpcComOnDestroyMachineAll#0,"""全ダズルポッドの破壊を確認。<br>ゾンネルのシールドが解除されました。"""
NpcComOnNMinutesPassed#0,"""周辺地形の解析完了。<br>全ダズルポッドの座標を転送します。"""
NpcComOnDestroyMachineLeader#0,"""コントロールポッドの破壊を確認。<br>ダズルポッドの認識阻害機能が解除されました。"""
