Begin#0,"""/ci2 1 啊！能不能請你稍微幫個忙？<br>敵人數量太多了。"""
Success#0,"""/ci9 1 謝謝你！真是幫了大忙了。<br>這個情我下次還！"""
Failure#0,"""/ci5 3 抱歉……<br>我暫時先撤退了。"""
Dead#0,"""/ci4 3……我、我居然会在這種地方……"""
Begin_v2#0,"""/ci2 1 啊！能不能請你稍微幫個忙？"""
Success_v2#0,"""/ci9 1 謝謝你！真是幫了大忙了。<br>這個情我下次還！"""
Failure_v2#0,"""/ci5 3 抱歉……<br>我暫時先撤退了。"""
Dead_v2#0,"""/ci4 3……我、我居然会在這種地方……"""
Begin_7001001_a#0,"""/ci2 1 啊！你來得正好！_a<br>能不能請你稍微幫個忙？"""
Success_7001001_b#0,"""/ci9 1 抱歉突然麻煩你，真是幫大忙了。<br>謝謝。_b"""
Failure_7001001#0,"""/ci4 3 對不起……<br>你要是感覺不妙了，就快逃吧。"""
Dead_7001001#0,"""/ci4 3 嗚嗚……不應該是這樣的……"""
BuddyDead_7001001#0,"""/ci4 3 嗚嗚……不應該是這樣的……"""
Begin_7001001_v3#0,"""/ci2 1 啊！你來得正好！<br>能不能請你稍微幫個忙？"""
Success_7001001_v3#0,"""/ci9 1 抱歉突然麻煩你，真是幫大忙了。<br>謝謝。"""
Failure_7001001_v3#0,"""/ci5 3 對不起……<br>你要是感覺不妙了，就快逃吧。"""
Dead_7001001_v3#0,"""/ci4 3 嗚嗚……不應該是這樣的……"""
BuddyDead_7001001_v3#0,"""/ci4 3 嗚嗚……不應該是這樣的……"""
Begin#1,"""＊＊開始"""
Success#1,"""＊＊成功"""
Failure#1,"""＊＊失敗"""
Dead#1,"""＊＊死亡"""
Begin_v2#1,"""＊＊開始(Ver2)"""
Success_v2#1,"""＊＊成功(Ver2)"""
Failure_v2#1,"""＊＊失敗(Ver2)"""
Dead_v2#1,"""＊＊死亡(Ver2)"""
Begin_7001001#0,"""＊＊開始(Ver無し)"""
Success_7001001#0,"""＊＊成功(Ver無し)"""
Failure_7001001#1,"""＊＊失敗(Ver無し)"""
Dead_7001001#1,"""＊＊死亡(Ver無し)"""
BuddyDead_7001001#1,"""＊＊相方死亡(Ver無し)"""
Begin_7001001_v3#1,"""＊＊開始(Ver3)"""
Success_7001001_v3#1,"""＊＊成功(Ver3)"""
Failure_7001001_v3#1,"""＊＊失敗(Ver3)"""
Dead_7001001_v3#1,"""＊＊死亡(Ver3)"""
BuddyDead_7001001_v3#1,"""＊＊相方死亡(Ver3)"""
Begin#2,"""＊＊開始"""
Success#2,"""＊＊成功"""
Failure#2,"""＊＊失敗"""
Dead#2,"""＊＊死亡"""
Begin_v2#2,"""＊＊開始(Ver2)"""
Success_v2#2,"""＊＊成功(Ver2)"""
Failure_v2#2,"""＊＊失敗(Ver2)"""
Dead_v2#2,"""＊＊死亡(Ver2)"""
Begin_7002001#0,"""＊＊開始(Ver無し)"""
Success_7002001#0,"""＊＊成功(Ver無し)"""
Failure_7002001#0,"""＊＊失敗(Ver無し)"""
Dead_7002001#0,"""＊＊死亡(Ver無し)"""
BuddyDead_7002001#0,"""＊＊相方死亡(Ver無し)"""
Begin_7002001_v3#0,"""＊＊開始(Ver3)"""
Success_7002001_v3#0,"""＊＊成功(Ver3)"""
Failure_7002001_v3#0,"""＊＊失敗(Ver3)"""
Dead_7002001_v3#0,"""＊＊死亡(Ver3)"""
BuddyDead_7002001_v3#0,"""＊＊相方死亡(Ver3)"""
Begin#3,"""＊＊開始"""
Success#3,"""＊＊成功"""
Failure#3,"""＊＊失敗"""
Dead#3,"""＊＊死亡"""
Begin_v2#3,"""＊＊開始(Ver2)"""
Success_v2#3,"""＊＊成功(Ver2)"""
Failure_v2#3,"""＊＊失敗(Ver2)"""
Dead_v2#3,"""＊＊死亡(Ver2)"""
Begin_7001001_a#1,"""/ci2 1 啊！你來得正好！<br>能不能請你稍微幫個忙？_a"""
Success_7001001_b#1,"""/ci9 1 抱歉突然麻煩你，真是幫大忙了。<br>謝謝。_b"""
Failure_7001001#2,"""＊＊失敗(Ver無し)"""
Dead_7001001#2,"""＊＊死亡(Ver無し)"""
BuddyDead_7001001#2,"""＊＊相方死亡(Ver無し)"""
Begin_7001001_v3#2,"""＊＊開始(Ver3)"""
Success_7001001_v3#2,"""＊＊成功(Ver3)"""
Failure_7001001_v3#2,"""＊＊失敗(Ver3)"""
Dead_7001001_v3#2,"""＊＊死亡(Ver3)"""
BuddyDead_7001001_v3#2,"""＊＊相方死亡(Ver3)"""
