ssn_011110_0001#0,"""有沒有享受採集的樂趣啊？"""
ssn_011110_0002#0,"""在都市外，應該能發現各種採集素材。<br>包括蔬菜、水果、礦石，還有親馴種身上的肉之類的。"""
ssn_011110_0003#0,"""這些食材與素材，都是會對作戰起到幫助的。<br>所以要是發現了，記得去收集一下啊！"""
ssn_011110_0004#0,"""那你加油吧！"""
ssn_011110_0101#0,"""採集得還順利嗎？"""
ssn_011110_0102#0,"""我這人啊，對礦石情有獨鐘。<br>一有空就會到處兜兜轉轉找礦石。"""
ssn_011110_0103#0,"""所以，我自認對礦石還是很精通的。<br>你要是不嫌麻煩，我可以教給你各種知識！"""
ssn_011110_0201#0,"""壹型赤岩，是一種泛著赤紅色光澤的礦石。"""
ssn_011110_0202#0,"""雖說用來觀賞也不錯，<br>但要是把它帶去道具實驗室，也可以用來鍛造裝備哦。"""
ssn_011110_0203#0,"""用來鍛造的礦石，根據裝備的不同會有所區別，<br>所以記得好好確認一下實驗室裡的菜單啊。"""
ssn_011110_0204#0,"""壹型赤岩，在中央艾亞利奧的岩壁上應該就能找到。<br>你就去試著採集一下吧！"""
ssn_011110_0301#0,"""唔，這樣啊…<br>這還真是可惜。"""
ssn_011110_0302#0,"""要是你想學習礦石的知識了，<br>隨時都可以來找我。"""
