TrialName_1Enemy#0,"""討伐$(0)"""
TrialBeginMsg_1Enemy#0,"""打倒出現的$(0)！"""
TrialAbstract_1Enemy#0,"""打倒$(0)"""
TrialName_Multi#0,"""討伐敵人"""
TrialBeginMsg_Multi#0,"""打倒出現的敵人！"""
TrialAbstract_Multi#0,"""打倒敵人"""
NpcComGod2RanBossAppear01#0,"""/voicessc_012040_0040 空間中出現了高能量反應。強力的敵人即將來襲！"""
NpcComGod2RanBossAppear02#0,"""/voicessc_012040_0050 ……偵測到了黑暗法爾斯的出現。"""
NpcComGod2RanBossBattleStart01#0,"""/voicessc_012050_0010 /atime0.5 ……位……得到嗎!?……就……回復！……告裡面……的情……！"""
NpcComGod2RanLaterHalf01#0,"""/voicessc_012060_0010 通訊恢復了！<br>偵測到了生命體征。你們那邊的情況，我們這裡也監視到了。"""
NpcComGod2RanLaterHalf02#0,"""/voicessc_012060_0030 /atime0.5 這是……黑暗法爾斯變得比出現時更弱了！<br>請繼續攻擊！"""
NpcComGod2RanBrokenAllParts01#0,"""/voicessc_012060_0070 黑暗法爾斯被進一步削弱了。我們能行！"""
NpcComGod2RanReturnFromDown01#0,"""/voicessc_012060_0050 /atime0.5 中央加農炮的發射準備，進入最終階段。<br>請再努力……一下下！"""
NpcComGod2ManonAndAina02#0,"""/voicessc_012040_0020 看來我們分別到了不同的匯合地點。"""
NpcComGod2ManonAndAina01#0,"""/voicessc_012040_0010 你現在在什麼位置？"""
NpcComGod2ManonAndAina03#0,"""/voicessc_012040_0030 我現在把這裡的坐標發給你，我們匯合一下……"""
NpcComGod2CrawfordBossAppear03#0,"""/voicessc_012040_0060 /atime0.5 距離加農炮發射，還需要一點點時間。<br>就拜託各位拖住它了……"""
