ssn_014250_0001#0,"""我是負責防衛這座南門的門衛，<br>名叫南黛。"""
ssn_014250_0002#0,"""我是這東西南北的門衛之中最年輕的一個。<br>不過，當門衛的經歷，卻是最長的哦。"""
ssn_014250_0003#0,"""每天，我都在努力當好同事們的榜樣。"""
ssn_014250_0101#0,"""我常聽說你的事跡。<br>怎麼說呢，你還真是活躍啊。"""
ssn_014250_0102#0,"""於是乎，看在你這能力的份上，<br>我有一個提議。"""
ssn_014250_0201#0,"""獨立游擊隊中，聚集了高戰鬥力的ARKS，<br>它是一支為了討伐敵人而組建的，強力的快速應變部隊。"""
ssn_014250_0202#0,"""雖說這是個棘手的任務，<br>但憑你的實力，應該算不上什麼難題。"""
ssn_014250_0203#0,"""那就加油吧。我會支持你的！"""
ssn_014250_0301#0,"""辛苦了！"""
ssn_014250_0302#0,"""不愧是你呀！真是場精彩的戰鬥呢。<br>今後也請照這個勢頭加油吧！"""
ssn_014250_0401#0,"""這樣啊……<br>我知道了。那就有機會再聊吧。"""
