name_7664#0,"""霍尼安|ホーニャン"""
ssn_011160_0010#0,"""沒見過你這副面孔呢。<br>這樣呀……看來你還真是剛來這裡啊。"""
ssn_011160_0020#0,"""那就等你稍微多掌握了些本領之後，<br>再回到這裡來吧。"""
ssn_011160_0030#0,"""你來了呀。<br>我是法擊職業的訓練教官，霍尼安。"""
ssn_011160_0040#0,"""看來你作為一名ARKS，也是有在順利地掌握實力呢。"""
ssn_011160_0041#0,"""你來了呀。<br>看來你作為一名ARKS，也是有在順利地掌握實力呢。"""
ssn_011160_0045#0,"""我要不要直接來指導一下你呢？<br>你想知道哪個職業的戰鬥方式？"""
ssn_011160_0046#0,"""就讓我來親自指導你一下。<br>準備好了沒？"""
ssn_011160_0050#0,"""所以，你想知道哪個職業的戰鬥方法呀？"""
ssn_011160_0060#0,"""哎呀是嘛？沒必要客氣啦。<br>你要是改主意了，就再來找我吧。"""
ssn_011160_0070#0,"""可得好好訓練哦。"""
ssn_011160_0080#0,"""只要你按我教你的去做，<br>就一定是能提升法擊的本領的。"""
ssn_011160_0101#0,"""如何？有沒有按我教你的去戰鬥呀？"""
ssn_011160_0102#0,"""經過這次訓練，你應該知道職業技能是有多重要了吧？<br>你就去多學習些職業技能，並習慣它們的使用方法吧。"""
ssn_011160_0103#0,"""那就這樣，記得要加油哦。"""
ssn_011160_0201#0,"""如何？複合屬性法術用慣了沒有呀？"""
ssn_011160_0202#0,"""最重要的，還是要配合敵人的弱點屬性哦。<br>你就去多試一試，習慣它們的使用方法吧。那就這樣，記得要加油哦。"""
ssn_011160_0301#0,"""如何？有按我教你的去戰鬥了沒？"""
ssn_011160_0302#0,"""你就去不斷積累經驗，並掌握實力吧。<br>那就這樣，記得要加油哦。"""
